Genero,Region,Campus,Escuela,Programa_Ini,PrepaTEC,PAA,PNA,P_Beca,P_Prestamo,Life,PI,Experiencia,TOEFL,Promedio_Gr,Sueldo_Real
Femenino,RM,LAG,EN,LIN,SI,1267.0,94.0,0.4,0.1,Si,SI,Sí,603.0,94464.0,14000.0
Femenino,RM,LAG,EN,LAF,SI,1487.0,86.0,0.2,0.25,No,SI,Sí,600.0,88696.0,25000.0
Femenino,RM,LAG,EIC,IBN,SI,1487.0,90.0,0.35,0.25,Si,NO,Sí,550.0,83098.0,16000.0
Femenino,RM,LAG,EAAD,ARQ,SI,1487.0,83.0,0.4,0.4,No,NO,Sí,550.0,88362.0,12000.0
Masculino,RM,LAG,EN,LIN,SI,1487.0,78.0,0.0,0.0,No,NO,Sí,633.0,76812.0,30000.0
Masculino,RCS,PUE,EIC,IDA,SI,1487.0,85.0,0.05,0.15,Si,SI,Sí,550.0,82676.0,20000.0
Femenino,RM,LAG,EIC,IBN,SI,1487.0,90.0,0.25,0.25,Si,SI,Sí,590.0,87.29,5000.0
Masculino,RM,LAG,EIC,IIS,SI,1487.0,85.0,0.0,0.0,No,SI,Sí,567.0,77842.0,17500.0
Femenino,RM,LAG,EIC,IIS,SI,1469.0,98.0,0.6,0.1,Si,SI,Sí,583.0,93745.0,16200.0
Masculino,RM,MTY,EN,LCPF,SI,1561.0,97.0,0.7,0.1,Si,SI,Sí,610.0,93107.0,11000.0
Masculino,RCS,QRO,EIC,IA,SI,1531.0,94.0,0.6,0.1,Si,SI,Sí,597.0,93966.0,21000.0
Femenino,RO,GDL,EN,LIN,SI,1524.0,100.0,0.6,0.0,No,SI,No,600.0,97158.0,20000.0
Femenino,RM,MTY,EIC,IBT,SI,1454.0,95.0,0.5,0.0,No,NO,Sí,600.0,89557.0,15600.0
Femenino,RM,LAG,EN,LIN,SI,1487.0,87.0,0.0,0.0,No,SI,Sí,567.0,88321.0,8000.0
Femenino,RM,LAG,EIC,IIS,SI,1361.0,96.0,0.4,0.0,Si,SI,Sí,593.0,96.85,18000.0
Masculino,RM,LAG,EIC,IMT,SI,1487.0,88.0,0.4,0.0,Si,SI,Sí,617.0,85161.0,19000.0
Masculino,RM,MTY,EIC,ITC,SI,1415.0,93.0,0.3,0.3,No,SI,Sí,610.0,91.21,48000.0
Masculino,RM,LAG,EN,LDN,SI,1487.0,87.0,0.3,0.3,No,SI,Sí,567.0,91779.0,5000.0
Femenino,RM,LAG,EIC,IIS,SI,1487.0,96.0,0.0,0.0,Si,SI,Sí,593.0,93333.0,18000.0
Femenino,RCM,CSF,ECSG,LED,SI,1487.0,84.0,0.0,0.0,No,SI,No,550.0,91877.0,15000.0
Masculino,RM,LAG,EIC,IIS,SI,1501.0,94.0,0.7,0.0,Si,SI,Sí,607.0,92583.0,19000.0
Masculino,RM,LAG,EIC,IIS,NO,1309.0,80.0,0.0,0.0,No,NO,Sí,600.0,81119.0,11500.0
Masculino,RM,LAG,EN,LAF,NO,1322.0,81.0,0.0,0.3,Si,NO,Sí,550.0,72281.0,27000.0
Femenino,RM,LAG,EN,LDN,NO,1487.0,82.0,0.4,0.2,Si,SI,Sí,573.0,92677.0,17000.0
Femenino,RM,MTY,EIC,IIS,NO,1398.0,91.0,0.3,0.2,Si,NO,Sí,600.0,91.0,0.0
Masculino,RM,LAG,EAAD,ARQ,NO,1381.0,92.0,0.3,0.0,No,SI,Sí,637.0,95965.0,16000.0
Masculino,RM,LAG,EIC,IIS,NO,1300.0,86.0,0.2,0.0,No,NO,Sí,550.0,82822.0,29000.0
Masculino,RM,LAG,EIC,IIS,NO,1487.0,90.0,0.2,0.0,Si,NO,Sí,550.0,88907.0,20000.0
Masculino,RM,LAG,EN,LAF,NO,1381.0,75.0,0.0,0.0,No,NO,Sí,550.0,76746.0,16000.0
Masculino,RM,MTY,EIC,IIS,NO,1305.0,81.0,0.0,0.0,No,NO,Sí,600.0,80895.0,50000.0
Masculino,RM,LAG,EIC,IIS,NO,1311.0,77.0,0.0,0.0,Si,SI,Sí,557.0,79013.0,18660.0
Femenino,RM,LAG,EN,LDN,NO,1206.0,81.0,0.0,0.0,No,SI,Sí,600.0,91.55,20000.0
Masculino,RM,LAG,EN,LAF,NO,1333.0,96.0,0.4,0.1,Si,SI,Sí,587.0,94578.0,18700.0
Masculino,RM,LAG,EIC,IMT,NO,1547.0,100.0,0.2,0.0,No,SI,Sí,650.0,96.0,21900.0
Femenino,RCS,QRO,EN,LAF,NO,1487.0,90.0,0.2,0.0,Si,SI,Sí,590.0,91859.0,8000.0
Masculino,RM,LAG,EIC,IIS,NO,1425.0,89.0,0.35,0.4,Si,SI,Sí,550.0,93098.0,18660.0
Masculino,RM,LAG,EIC,IBN,NO,1431.0,94.0,0.5,0.1,Si,NO,Sí,643.0,91389.0,12000.0
Masculino,RM,LAG,EIC,IIS,NO,1315.0,96.0,0.3,0.3,Si,NO,Sí,600.0,91196.0,14000.0
Masculino,RM,LAG,EIC,IMT,NO,1487.0,92.0,0.7,0.1,Si,NO,Sí,610.0,97868.0,26000.0
Masculino,RM,LAG,EIC,IMT,NO,1352.0,95.0,0.3,0.3,Si,NO,Sí,550.0,91031.0,25000.0
Masculino,RM,MTY,EN,LAF,NO,767.0,81.0,0.6,0.0,Si,SI,Sí,623.0,91821.0,38000.0
Femenino,RM,LAG,EIC,IIS,NO,1426.0,92.0,0.3,0.0,Si,SI,Sí,600.0,92516.0,12000.0
Femenino,RM,LAG,EN,LIN,NO,1487.0,100.0,0.2,0.0,Si,NO,Sí,550.0,97086.0,6700.0
Masculino,RM,LAG,EN,LAF,NO,1406.0,98.0,0.2,0.0,Si,NO,Sí,550.0,98107.0,17000.0
Femenino,RM,LAG,EIC,IIS,NO,1420.0,100.0,0.2,0.0,Si,NO,Sí,550.0,90918.0,60000.0
Masculino,RM,MTY,EN,LAF,SI,1540.0,99.0,0.6,0.0,Si,SI,Sí,643.0,98089.0,25000.0
Masculino,RM,MTY,EIC,IMT,SI,1518.0,95.0,0.8,0.0,Si,NO,Sí,637.0,94704.0,26000.0
Masculino,DR,CDJ,EIC,IMT,NO,1311.0,92.0,0.4,0.4,Si,SI,Sí,550.0,89475.0,15000.0
Femenino,RO,GDL,EIC,IMT,SI,1337.0,97.0,0.35,0.35,Si,NO,Sí,600.0,92278.0,16000.0
Masculino,RM,MTY,EIC,IMA,SI,1476.0,93.0,0.4,0.4,Si,NO,Sí,550.0,85583.0,19000.0
Masculino,RM,MTY,EN,LIN,SI,1487.0,81.0,0.0,0.2,No,NO,Sí,553.0,82225.0,17400.0
Masculino,DR,CDJ,EN,LDN,SI,1487.0,84.0,0.2,0.2,No,NO,Sí,640.0,88583.0,0.0
Masculino,DR,CDJ,EN,LDN,SI,1487.0,78.0,0.0,0.25,No,NO,Sí,550.0,85907.0,1000.0
Masculino,DR,CDJ,EIC,IMT,SI,1444.0,95.0,0.6,0.0,No,NO,Sí,550.0,90754.0,22000.0
Masculino,DR,CDJ,EIC,IMT,SI,1497.0,96.0,0.7,0.0,No,NO,Sí,580.0,92934.0,17000.0
Femenino,RO,CHI,ECSG,LED,SI,1446.0,96.0,0.0,0.0,No,NO,Sí,600.0,92482.0,8000.0
Femenino,DR,CDJ,EIC,IMT,NO,1401.0,99.0,0.55,0.25,Si,NO,Sí,550.0,84661.0,24000.0
Masculino,DR,CDJ,EIC,IMT,NO,1545.0,91.0,0.2,0.0,Si,NO,Sí,550.0,92333.0,30500.0
Femenino,RO,HER,EN,LMC,SI,1487.0,82.0,0.0,0.0,No,NO,Sí,550.0,85573.0,0.0
Femenino,RO,GDL,EN,LAF,SI,1398.0,91.0,0.0,0.0,No,SI,No,577.0,89.0,23500.0
Femenino,RO,HER,EIC,IIS,SI,1393.0,91.0,0.2,0.2,Si,NO,Sí,600.0,91666.0,23000.0
Masculino,RO,HER,EIC,IMT,SI,1487.0,86.0,0.4,0.0,Si,NO,Sí,583.0,90557.0,17041.0
Masculino,RO,HER,EN,LIN,SI,1487.0,84.0,0.15,0.15,Si,NO,Sí,607.0,90714.0,0.0
Femenino,RM,MTY,EIC,IQA,SI,1465.0,91.0,0.0,0.0,No,SI,Sí,600.0,89196.0,16000.0
Femenino,RM,MTY,EN,LCPF,SI,1421.0,92.0,0.0,0.0,No,SI,Sí,600.0,95107.0,24500.0
Femenino,RO,HER,EN,LAE,SI,1382.0,91.0,0.1,0.0,No,SI,Sí,590.0,95428.0,15000.0
Masculino,RO,HER,EN,LAE,SI,1487.0,85.0,0.0,0.0,No,NO,No,590.0,90589.0,12000.0
Femenino,RO,HER,EIC,IIS,SI,1312.0,92.0,0.15,0.15,Si,SI,No,550.0,92.9,14600.0
Femenino,RCM,CCM,EN,LCPF,SI,1487.0,85.0,0.0,0.0,Si,NO,No,550.0,90672.0,0.0
Masculino,RO,HER,EN,LIN,NO,1180.0,81.0,0.0,0.0,Si,NO,Sí,550.0,78.0,50400.0
Femenino,RO,GDL,EN,LAF,NO,1291.0,80.0,0.0,0.0,No,SI,No,550.0,83828.0,15500.0
Masculino,RM,MTY,EIC,IIS,NO,1333.0,90.0,0.0,0.0,Si,SI,No,600.0,76635.0,30000.0
Femenino,RM,MTY,EIC,IIS,NO,1402.0,95.0,0.25,0.25,Si,NO,Sí,550.0,90396.0,0.0
Femenino,RO,HER,EAAD,ARQ,NO,1429.0,92.0,0.3,0.0,Si,SI,Sí,550.0,87424.0,8000.0
Masculino,RCS,QRO,EN,LAF,NO,1445.0,73.0,0.0,0.0,No,NO,No,550.0,81761.0,13000.0
Masculino,RO,HER,EAAD,ARQ,NO,1305.0,99.0,0.5,0.3,No,SI,Sí,550.0,90587.0,10000.0
Masculino,RO,HER,EIC,IMT,NO,1415.0,91.0,0.15,0.15,Si,SI,Sí,587.0,86421.0,8000.0
Masculino,RO,HER,EN,LAE,NO,1337.0,75.0,0.0,0.0,No,NO,Sí,577.0,81343.0,15000.0
Femenino,RO,HER,EAAD,LDI,NO,1564.0,100.0,0.0,0.0,Si,NO,Sí,647.0,97928.0,4000.0
Femenino,RO,HER,EIC,IIS,NO,1552.0,100.0,0.6,0.0,Si,SI,Sí,607.0,98583.0,12000.0
Femenino,RM,MTY,EIC,IDS,NO,1448.0,99.0,0.0,0.0,No,NO,Sí,550.0,92083.0,12000.0
Masculino,RO,HER,EIC,IMT,NO,1487.0,90.0,0.6,0.0,No,NO,No,550.0,91596.0,19000.0
Masculino,RO,HER,EIC,IMT,NO,1370.0,93.0,0.4,0.4,Si,NO,Sí,550.0,87765.0,9300.0
Masculino,RM,MTY,EIC,IC,NO,1458.0,94.0,0.0,0.0,No,SI,Sí,550.0,89761.0,20000.0
Femenino,RO,HER,EN,LAE,NO,1361.0,97.0,0.3,0.3,Si,SI,Sí,580.0,95192.0,16000.0
Femenino,RO,HER,EIC,IIS,NO,1310.0,93.0,0.4,0.4,Si,SI,Sí,550.0,92.58,38900.0
Femenino,RO,HER,EIC,IIS,NO,1487.0,90.0,0.3,0.3,Si,SI,Sí,560.0,89.46,25000.0
Femenino,RO,HER,EN,LAE,NO,1422.0,82.0,0.2,0.0,Si,SI,Sí,587.0,92051.0,12000.0
Masculino,RO,AGS,EIC,IIS,SI,1487.0,77.0,0.0,0.0,No,SI,Sí,550.0,78333.0,14000.0
Masculino,RO,AGS,EIC,IMT,NO,1301.0,94.0,0.25,0.25,No,NO,Sí,570.0,85803.0,16000.0
Femenino,RO,AGS,EIC,IIS,NO,1422.0,97.0,0.35,0.35,Si,SI,Sí,550.0,94.19,0.0
Femenino,RO,AGS,EN,LIN,NO,1479.0,96.0,0.2,0.2,Si,SI,Sí,600.0,94785.0,15460.0
Femenino,RCM,CCM,EAAD,LAD,SI,1487.0,81.0,0.0,0.0,Si,NO,Sí,543.0,83507.0,8000.0
Masculino,RO,GDL,EHE,LCMD,SI,1114.0,76.0,0.0,0.25,Si,SI,No,550.0,82314.0,10000.0
Masculino,RCS,QRO,EAAD,ARQ,SI,1487.0,89.0,0.0,0.0,No,SI,Sí,550.0,91689.0,10000.0
Masculino,RCS,QRO,EN,LAF,SI,1487.0,91.0,0.35,0.35,No,SI,Sí,580.0,94.41,0.0
Masculino,RCM,CSF,EN,LAF,SI,1487.0,93.0,0.35,0.35,No,NO,Sí,557.0,92339.0,25000.0
Masculino,RCS,HGO,EIC,ITI,SI,1487.0,82.0,0.0,0.0,No,NO,Sí,550.0,77941.0,23664.0
Masculino,RCS,PUE,EAAD,ARQ,NO,1487.0,75.0,0.0,0.0,No,SI,No,550.0,82281.0,10800.0
Masculino,RCM,CCM,EIC,IMD,SI,1504.0,94.0,0.7,0.0,Si,SI,Sí,630.0,87847.0,18098.0
Femenino,RCS,HGO,EN,LCPF,SI,1487.0,90.0,0.8,0.0,Si,SI,No,670.0,96875.0,18000.0
Masculino,RCS,PUE,EIC,IIS,SI,1487.0,96.0,0.0,0.0,No,NO,Sí,550.0,95627.0,28000.0
Femenino,RM,MTY,ECSG,LED,SI,1487.0,92.0,0.9,0.0,No,NO,Sí,610.0,94.41,16000.0
Femenino,RCS,HGO,EIC,IIS,NO,1336.0,96.0,0.15,0.15,Si,SI,No,557.0,95819.0,27000.0
Masculino,RCM,CSF,EN,LAE,SI,1487.0,80.0,0.0,0.0,Si,SI,No,550.0,81928.0,10000.0
Masculino,RCS,HGO,EIC,ITI,SI,1487.0,87.0,0.0,0.2,No,NO,Sí,550.0,86051.0,20050.0
Femenino,RCM,CSF,EN,LAE,SI,1371.0,92.0,0.15,0.15,Si,SI,Sí,573.0,90446.0,15000.0
Masculino,RCS,HGO,EN,LCPF,SI,1487.0,90.0,0.15,0.15,No,NO,Sí,550.0,93909.0,15650.0
Masculino,RCS,HGO,EIC,ITI,SI,1487.0,88.0,0.2,0.2,Si,NO,No,550.0,91189.0,21000.0
Masculino,RO,GDL,EIC,IIS,SI,1487.0,90.0,0.2,0.2,Si,NO,Sí,573.0,88.95,22738.0
Femenino,RCS,HGO,EIC,ITI,SI,1513.0,97.0,0.7,0.1,Si,NO,Sí,643.0,96333.0,32000.0
Masculino,RCS,HGO,EIC,ITI,SI,1433.0,92.0,0.25,0.25,Si,NO,Sí,553.0,95157.0,35000.0
Femenino,RCS,HGO,EN,LCPF,SI,1487.0,88.0,0.1,0.2,Si,SI,No,570.0,87.14,12300.0
Femenino,RCS,QRO,EN,LAE,SI,1487.0,90.0,0.0,0.0,Si,NO,Sí,560.0,94636.0,22500.0
Masculino,RCS,HGO,EN,LCPF,SI,1450.0,96.0,0.5,0.0,Si,NO,Sí,550.0,95875.0,20000.0
Femenino,RO,GDL,ECSG,LED,SI,1487.0,87.0,0.0,0.0,Si,SI,Sí,550.0,91607.0,15000.0
Femenino,RCS,HGO,EIC,IIS,NO,1359.0,85.0,0.1,25890.0,Si,SI,Sí,557.0,81.56,10000.0
Masculino,RCS,HGO,EIC,ITI,SI,1487.0,87.0,0.2,0.2,No,NO,Sí,617.0,86894.0,23000.0
Femenino,RM,MTY,EIC,IIS,NO,1311.0,99.0,0.0,0.2,Si,SI,No,550.0,91426.0,21000.0
Masculino,RCS,PUE,EIC,ISD,NO,1458.0,90.0,0.2,0.0,No,NO,No,550.0,93461.0,14000.0
Femenino,RCS,HGO,EN,LCPF,NO,1242.0,97.0,0.9,0.0,Si,NO,Sí,550.0,84705.0,10000.0
Masculino,RCS,HGO,EN,LCPF,NO,1322.0,85.0,0.25,0.25,Si,NO,No,550.0,90678.0,12000.0
Femenino,RCS,HGO,EIC,ITI,NO,1535.0,86.0,0.25,0.25,Si,SI,No,610.0,95327.0,40000.0
Femenino,RCS,HGO,EIC,IIS,NO,1362.0,88.0,0.15,0.15,No,NO,Sí,550.0,95047.0,25500.0
Femenino,RCS,HGO,EIC,IIS,NO,1545.0,93.0,0.8,0.0,Si,SI,No,550.0,94233.0,20000.0
Masculino,RCS,HGO,EIC,IIS,NO,1359.0,87.0,0.25,0.25,No,SI,Sí,643.0,95098.0,19000.0
Masculino,RM,MTY,EAAD,ARQ,SI,1487.0,90.0,0.9,0.0,Si,SI,Sí,623.0,90137.0,16000.0
Femenino,RM,MTY,EAAD,LDI,SI,1487.0,88.0,0.9,0.0,Si,SI,Sí,600.0,92089.0,7000.0
Femenino,RM,MTY,EIC,IIS,SI,1487.0,87.0,0.9,0.0,No,SI,Sí,610.0,92582.0,71070.0
Masculino,RM,MTY,EN,LCPF,SI,1487.0,90.0,0.0,0.0,No,NO,Sí,607.0,77.03,12000.0
Masculino,RM,MTY,EIC,ITC,NO,1433.0,88.0,0.4,0.4,Si,NO,Sí,550.0,84203.0,26000.0
Masculino,RM,MTY,EIC,IMA,SI,1420.0,93.0,0.15,0.15,Si,SI,Sí,603.0,90508.0,30000.0
Masculino,RM,MTY,EAAD,ARQ,SI,1487.0,84.0,0.0,0.0,Si,SI,Sí,570.0,84524.0,18000.0
Femenino,RM,MTY,ECSG,LRI,SI,1487.0,90.0,0.0,0.0,No,SI,No,677.0,88339.0,23400.0
Masculino,RM,MTY,EIC,ITC,SI,1447.0,99.0,0.9,0.0,No,SI,Sí,637.0,99719.0,184000.0
Femenino,RM,MTY,EIC,IC,SI,1487.0,90.0,0.0,0.0,Si,NO,No,550.0,80228.0,12300.0
Masculino,RM,MTY,EN,LCPF,SI,1487.0,78.0,0.0,0.0,Si,SI,Sí,550.0,81453.0,16500.0
Masculino,RM,MTY,EN,LAF,SI,1487.0,93.0,0.9,0.0,Si,SI,Sí,630.0,94509.0,72000.0
Femenino,RM,MTY,EAAD,ARQ,SI,1487.0,84.0,0.0,0.0,No,SI,Sí,570.0,87844.0,17000.0
Masculino,RM,MTY,EIC,IMT,SI,1470.0,93.0,0.25,0.25,No,SI,Sí,647.0,94955.0,21000.0
Femenino,RM,MTY,EIC,IQA,SI,1328.0,82.0,0.0,0.0,No,NO,Sí,593.0,86079.0,19000.0
Femenino,RM,MTY,EN,LCPF,SI,1567.0,92.0,0.9,0.0,Si,SI,Sí,640.0,94322.0,23900.0
Masculino,RM,MTY,EIC,IME,SI,1487.0,94.0,0.0,0.0,No,SI,Sí,663.0,95523.0,160000.0
Masculino,RM,MTY,EIC,ITC,SI,1487.0,89.0,0.0,0.0,No,SI,Sí,590.0,91.66,29823.0
Femenino,RM,MTY,EIC,IQA,SI,1323.0,92.0,0.4,0.4,No,NO,Sí,550.0,90.6,0.0
Femenino,RM,MTY,EIC,IMA,SI,1383.0,86.0,0.0,0.0,Si,SI,Sí,617.0,88.05,31000.0
Masculino,RM,MTY,EIC,ITC,SI,1487.0,78.0,0.0,0.2,Si,NO,Sí,557.0,86344.0,36000.0
Masculino,RM,MTY,EIC,IMT,SI,1487.0,86.0,0.0,0.0,No,SI,Sí,550.0,85276.0,22000.0
Masculino,RM,MTY,EIC,IQA,SI,1262.0,93.0,0.0,0.0,No,SI,Sí,603.0,94016.0,20000.0
Masculino,RM,MTY,EIC,ITC,SI,1448.0,96.0,0.9,0.0,No,SI,Sí,670.0,96596.0,2600000.0
Masculino,RM,MTY,EIC,IIS,SI,1487.0,86.0,0.0,0.0,No,SI,Sí,560.0,88483.0,21000.0
Femenino,RM,MTY,EN,LAE,SI,1487.0,86.0,0.0,0.0,Si,SI,Sí,560.0,93163.0,17000.0
Masculino,RM,MTY,EN,LCPF,SI,1487.0,84.0,0.0,0.0,Si,SI,Sí,613.0,85767.0,14500.0
Femenino,RM,MTY,EIC,INT,SI,1317.0,88.0,0.4,0.4,No,SI,Sí,603.0,89.0,23875.0
Masculino,RM,MTY,EIC,IDA,SI,1487.0,84.0,0.4,0.0,Si,SI,Sí,627.0,89016.0,20000.0
Femenino,RM,MTY,EIC,ITC,SI,1485.0,98.0,0.5,0.3,Si,NO,Sí,673.0,97543.0,25000.0
Femenino,RM,MTY,ECSG,LED,SI,1487.0,82.0,0.0,0.0,No,SI,Sí,550.0,85285.0,0.0
Masculino,RM,MTY,EIC,IMT,NO,1406.0,86.0,0.2,0.3,Si,NO,Sí,600.0,86375.0,25000.0
Femenino,RM,MTY,EIC,IMD,SI,1263.0,95.0,0.4,0.4,No,NO,Sí,613.0,89155.0,13824.0
Femenino,RM,MTY,EN,LIN,SI,1421.0,91.0,0.4,0.4,Si,SI,Sí,637.0,90905.0,24000.0
Femenino,RM,MTY,EIC,IDS,SI,1487.0,88.0,0.25,0.25,Si,SI,No,553.0,91983.0,12000.0
Femenino,RM,MTY,EIC,INT,SI,1504.0,91.0,0.5,0.0,Si,NO,Sí,653.0,94929.0,6000.0
Femenino,RM,MTY,EN,LEM,SI,1361.0,89.0,0.0,0.0,Si,SI,Sí,583.0,95071.0,17000.0
Masculino,RM,MTY,ECSG,LEC,SI,1487.0,88.0,0.0,0.0,No,SI,Sí,633.0,90.91,18000.0
Femenino,RM,MTY,EN,LCPF,SI,1359.0,90.0,0.6,0.0,Si,NO,Sí,603.0,94767.0,10000.0
Masculino,RM,MTY,EN,LIN,SI,1487.0,86.0,0.0,0.0,Si,SI,Sí,583.0,87.35,17900.0
Masculino,RM,MTY,EIC,IC,SI,1288.0,93.0,0.8,0.0,No,SI,Sí,593.0,84606.0,24000.0
Masculino,RM,MTY,EN,LIN,SI,1487.0,81.0,0.0,0.0,No,SI,Sí,580.0,84.1,30000.0
Femenino,RM,MTY,EN,LAE,SI,1487.0,83.0,0.0,0.0,Si,SI,Sí,597.0,89807.0,15000.0
Masculino,RM,MTY,EIC,ISD,SI,1487.0,87.0,0.0,0.0,No,NO,Sí,560.0,89688.0,0.0
Femenino,RM,MTY,ECSG,LED,SI,1487.0,87.0,0.0,0.0,No,NO,Sí,593.0,86534.0,6000.0
Masculino,RM,MTY,EN,LPM,SI,1487.0,85.0,0.0,0.0,Si,SI,Sí,567.0,89517.0,10000.0
Femenino,RM,MTY,ECSG,LED,SI,1487.0,83.0,0.0,0.0,Si,SI,Sí,573.0,86631.0,12500.0
Femenino,RM,MTY,EAAD,LDI,SI,1080.0,80.0,0.9,0.0,No,SI,No,550.0,91.31,10000.0
Masculino,RCS,PUE,EIC,IDA,NO,1487.0,90.0,0.0,0.0,Si,NO,Sí,550.0,71166.0,6000.0
Femenino,RM,MTY,EIC,IQP,SI,1487.0,90.0,0.25,0.25,No,NO,Sí,550.0,84733.0,16000.0
Masculino,RCS,PUE,EAAD,LAD,SI,1487.0,83.0,0.0,0.0,Si,SI,No,620.0,85017.0,8000.0
Masculino,RO,GDL,EN,LAF,NO,1487.0,90.0,0.0,0.0,Si,SI,Sí,600.0,88084.0,16000.0
Masculino,RCS,PUE,EN,LAF,SI,1487.0,82.0,0.2,0.0,Si,SI,Sí,550.0,88732.0,7000.0
Masculino,RCS,PUE,EN,LAF,NO,1440.0,92.0,0.5,0.0,Si,NO,No,550.0,95571.0,17000.0
Masculino,RCS,PUE,ECSG,LRI,SI,1487.0,89.0,0.3,0.3,No,SI,Sí,550.0,92509.0,22200.0
Femenino,RCS,PUE,EN,LAF,SI,1509.0,95.0,0.6,0.0,Si,SI,Sí,567.0,97607.0,30000.0
Femenino,RCS,PUE,EN,LAF,SI,1487.0,83.0,0.0,0.0,Si,NO,Sí,550.0,86644.0,0.0
Masculino,RCS,PUE,EIC,IMA,NO,1441.0,92.0,0.0,0.0,Si,SI,Sí,550.0,91338.0,18700.0
Femenino,RM,MTY,EIC,IMD,NO,1487.0,90.0,0.9,0.0,No,SI,Sí,567.0,89846.0,14400.0
Femenino,RCS,PUE,EIC,IIS,SI,1487.0,88.0,0.1,0.0,Si,NO,Sí,550.0,90.15,18000.0
Femenino,RCS,PUE,ECSG,LEF,SI,1456.0,95.0,0.2,0.0,Si,SI,Sí,590.0,97089.0,26437.0
Masculino,RCS,PUE,EN,LIN,SI,1487.0,81.0,0.0,0.0,No,SI,No,550.0,88607.0,24000.0
Femenino,RCS,PUE,EIC,IIS,SI,1487.0,92.0,0.6,0.0,Si,SI,Sí,550.0,94833.0,0.0
Femenino,RCS,PUE,EAAD,LDI,NO,1487.0,92.0,0.3,0.3,Si,NO,Sí,577.0,93.69,12000.0
Femenino,RCS,PUE,EIC,IIS,SI,1501.0,93.0,0.6,0.1,Si,NO,Sí,550.0,92.3,15000.0
Femenino,RCS,PUE,EIC,IMT,SI,1487.0,86.0,0.5,0.0,Si,NO,No,550.0,88131.0,12000.0
Masculino,RCS,PUE,ECSG,LDP,SI,1487.0,82.0,0.75,0.0,No,NO,Sí,550.0,86421.0,15000.0
Masculino,RCS,PUE,EN,LAE,SI,1487.0,90.0,0.0,0.0,No,SI,Sí,550.0,84294.0,16000.0
Femenino,RCS,PUE,EN,LAF,SI,1487.0,86.0,0.15,0.0,No,SI,Sí,590.0,95607.0,18000.0
Femenino,RCS,PUE,EN,LAF,NO,1480.0,95.0,0.7,0.0,Si,SI,Sí,600.0,92875.0,77605.0
Masculino,RCS,QRO,EN,LAF,NO,1289.0,77.0,0.0,0.0,No,NO,No,550.0,73.82,20000.0
Masculino,RCS,PUE,EAAD,LAD,NO,1487.0,87.0,0.0,0.0,Si,SI,No,573.0,87847.0,10000.0
Masculino,RM,MTY,EIC,IMT,NO,1445.0,89.0,0.3,0.4,Si,SI,Sí,550.0,91312.0,6300.0
Masculino,RCM,CEM,EIC,IQA,NO,1349.0,77.0,0.0,0.0,No,NO,Sí,537.0,81014.0,28400.0
Femenino,RCS,PUE,EIC,IIS,NO,1203.0,84.0,0.15,0.15,Si,NO,Sí,550.0,82455.0,10000.0
Masculino,RCS,PUE,EIC,IIS,SI,1487.0,87.0,0.0,0.0,Si,NO,No,550.0,87.59,8600.0
Femenino,RCS,PUE,EHE,LCMD,NO,1423.0,100.0,0.3,0.0,No,SI,Sí,550.0,98152.0,15000.0
Masculino,RCS,PUE,EAAD,LDI,NO,1406.0,88.0,0.1,0.2,No,NO,Sí,550.0,89266.0,12000.0
Femenino,RCS,PUE,EIC,IIS,NO,1235.0,97.0,0.5,0.0,No,NO,Sí,550.0,92597.0,19000.0
Masculino,RCS,PUE,EIC,ISD,NO,1420.0,95.0,0.1,0.4,Si,SI,Sí,550.0,84338.0,0.0
Masculino,RCS,PUE,EIC,IDA,NO,1409.0,86.0,0.6,0.0,No,SI,Sí,550.0,90.59,59225.0
Masculino,RCS,PUE,EIC,IMT,NO,1511.0,97.0,0.6,0.0,Si,SI,Sí,600.0,89838.0,15000.0
Masculino,RCS,PUE,EHE,LCMD,NO,1380.0,92.0,0.35,0.35,Si,SI,No,550.0,92603.0,12000.0
Masculino,RCS,PUE,EIC,ITC,NO,1487.0,90.0,0.2,0.2,Si,SI,Sí,550.0,91758.0,75763.0
Masculino,RCS,PUE,EIC,ITC,NO,1393.0,86.0,0.1,0.0,No,SI,Sí,550.0,81897.0,8000.0
Femenino,RCM,CCM,EHE,LCMD,NO,1394.0,83.0,0.0,0.4,Si,NO,Sí,557.0,86984.0,9000.0
Femenino,RM,MTY,EIC,ITC,SI,1487.0,86.0,0.0,0.4,No,SI,No,610.0,82.05,23000.0
Femenino,RCM,CCM,EHE,LCMD,SI,1487.0,79.0,0.0,0.0,No,SI,Sí,553.0,82806.0,10000.0
Femenino,RCM,CCM,EIC,IME,NO,1487.0,90.0,0.0,0.0,Si,NO,Sí,550.0,77554.0,30000.0
Femenino,RCM,CCM,EN,LMC,SI,1487.0,90.0,0.0,0.0,No,NO,Sí,547.0,89116.0,12000.0
Femenino,RCM,CCM,EAAD,LDI,SI,1487.0,81.0,0.0,0.0,No,NO,Sí,570.0,89589.0,40000.0
Masculino,RCS,PUE,EIC,IDA,SI,1487.0,88.0,0.0,0.0,Si,NO,Sí,597.0,78791.0,24500.0
Femenino,RCM,CCM,EAAD,ARQ,SI,1486.0,95.0,0.2,0.0,Si,NO,Sí,613.0,91586.0,16000.0
Femenino,RCM,CCM,EN,LAE,SI,1455.0,91.0,0.0,0.0,Si,NO,Sí,600.0,93436.0,25500.0
