Foraneo,FGS,Rubrica_CyE,PromMate,Ingles,FTE,P_Beca,P_Prestamo,Retencion1erA,Prom1erSem,Prom2doSem,Prom1erA,Escuela_0,Escuela_1,Genero_Femenino,HijoMilitar_NO,HijoMilitar_SI,Prog_Lider_NO,Prog_Lider_SI
SI: Nacional,No,46.0,82.74521609790698,5,1.104166667,0.149999992,0.149999992,1,85.5,87.0,87.92105263,0,1,1,1,0,1,0
SI: Nacional,No,36.0,82.74521609790698,6,1.041666667,0.0,0.0,1,94.1,94.4,93.89189189,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,6,0.833333333,0.400000016,0.0,1,77.44444444,94.71428571,89.91428571,1,0,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.2,0.2,1,80.0,81.5,85.63636364,0,1,1,1,0,1,0
Local,No,26.0,82.74521609790698,2,1.0,0.55,0.25,1,95.57142857,91.125,93.41666667,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,0.833333333,0.350000065,0.24999996,1,88.4,97.8,94.67567568,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,87.0,96.16666667,93.875,0,1,1,1,0,1,0
Local,No,25.0,82.74521609790698,3,1.0,0.0,0.0,1,86.16666667,90.44444444,88.88235294,1,0,1,1,0,1,0
Local,No,40.0,82.74521609790698,3,1.0,0.0,0.0,1,92.66666667,90.8,91.81818182,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,6,1.041666667,0.0,0.0,0,59.9,0.0,61.52631579,0,1,1,1,0,1,0
Local,No,29.0,82.74521609790698,6,1.0,0.0,0.0,0,90.11111111,0.0,85.33333333,0,1,1,1,0,1,0
SI: Nacional,No,34.0,82.74521609790698,6,1.0,0.0,0.0,0,85.5,87.0,86.1,0,1,1,1,0,1,0
Local,No,32.0,82.74521609790698,5,1.0,0.2,0.2,1,89.25,96.0,94.52777778,1,0,1,1,0,1,0
Local,No,38.0,82.74521609790698,5,1.0,0.0,0.0,1,94.5,95.33333333,94.91666667,0,1,1,1,0,1,0
SI: Nacional,No,36.0,82.74521609790698,6,1.0,0.0,0.0,1,86.3,85.33333333,87.23076923,0,1,1,1,0,1,0
Local,No,48.0,82.74521609790698,6,1.0,0.0,0.0,1,88.57142857,93.5,91.72222222,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,6,1.0,0.0,0.0,1,88.0,87.0,87.66666667,0,1,1,1,0,1,0
SI: Nacional,No,25.0,82.74521609790698,6,1.166666667,0.0,0.0,1,74.3,6.2,68.27777778,0,1,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,77.66666667,88.77777778,85.24242424,0,1,1,1,0,1,0
SI: Nacional,Sí,50.0,82.74521609790698,6,1.0,0.0,0.0,1,90.71428571,92.85714286,91.75,1,0,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,3,1.0,0.0,0.0,1,88.85714286,87.2,88.03333333,0,1,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,93.16666667,88.8,91.18181818,0,1,1,1,0,1,0
Local,No,31.0,82.74521609790698,6,1.0,0.0,0.0,0,84.0,0.0,79.45454545,0,1,1,1,0,1,0
Local,No,34.0,82.74521609790698,6,1.0,0.0,0.0,1,86.0,94.3,89.13888889,0,1,1,1,0,1,0
SI: Extranjero,No,46.0,82.74521609790698,6,1.0,0.0,0.25,1,72.66666667,83.3,83.55263158,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,4,1.0,0.0,0.0,1,87.7,91.7,89.15384615,0,1,1,1,0,1,0
SI: Nacional,No,15.0,82.74521609790698,6,1.0,0.0,0.0,1,89.71428571,74.625,81.90625,1,0,1,1,0,1,0
Local,No,46.0,82.74521609790698,6,1.0,0.0,0.0,1,89.57142857,96.625,92.75,1,0,1,1,0,1,0
Local,No,42.0,82.74521609790698,6,1.0,0.0,0.0,1,83.4,89.9,86.91666667,0,1,1,1,0,1,0
SI: Nacional,Sí,42.0,82.74521609790698,6,1.0,0.1,0.1,1,96.5,97.33333333,96.91666667,0,1,1,1,0,1,0
SI: Nacional,Sí,32.0,82.74521609790698,1,1.0,0.0,0.0,0,90.8,0.0,90.5,0,1,1,0,1,1,0
Local,No,46.0,82.74521609790698,4,1.0,0.0,0.0,1,82.28571429,88.25,87.35135135,1,0,1,1,0,1,0
SI: Nacional,No,36.0,82.74521609790698,4,1.0,0.45,0.25,1,91.57142857,93.0,92.97058824,0,1,1,1,0,1,0
SI: Extranjero,No,44.0,82.74521609790698,6,1.0,0.5,0.0,1,90.16666667,91.33333333,90.75,0,1,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,84.71428571,94.33333333,90.91666667,1,0,1,1,0,1,0
SI: Nacional,No,46.0,82.74521609790698,6,1.0,0.6,0.0,1,84.42857143,94.77777778,91.47222222,1,0,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.041666667,0.0,0.0,1,84.71428571,94.16666667,89.67567568,0,1,1,1,0,1,0
SI: Nacional,No,46.0,82.74521609790698,6,1.0,0.6,0.0,1,96.375,95.22222222,95.38888889,1,0,1,1,0,1,0
SI: Extranjero,No,32.0,82.74521609790698,6,1.0,0.0,0.0,1,88.75,93.33333333,91.94444444,1,0,1,1,0,1,0
Local,No,26.0,82.74521609790698,6,1.0,0.25,0.25,1,88.83333333,91.83333333,90.33333333,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.4,0.1,1,78.625,89.375,83.47222222,1,0,1,1,0,1,0
Local,No,34.0,82.74521609790698,6,1.0,0.55,0.25,1,89.71428571,91.125,89.16666667,1,0,1,1,0,1,0
Local,No,29.0,82.74521609790698,5,1.0,0.0,0.0,1,88.0,82.25,84.03333333,1,0,1,1,0,1,0
Local,No,34.0,82.74521609790698,6,1.0,0.0,0.0,1,90.1,94.25,93.75,0,1,1,1,0,1,0
SI: Extranjero,No,40.0,82.74521609790698,6,1.0,0.4,0.0,1,96.4,99.2,97.66666667,0,1,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,0.666666667,0.400000051,0.0,1,95.0,97.5,96.74074074,1,0,1,1,0,1,0
SI: Nacional,No,42.0,82.74521609790698,6,1.0,0.4,0.2,1,87.875,89.44444444,89.08333333,1,0,1,1,0,1,0
Local,No,40.0,82.74521609790698,5,1.0,0.15,0.15,1,91.0,94.2,92.0,0,1,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,6,1.0,0.55,0.0,1,97.0,98.88888889,97.88888889,1,0,1,1,0,1,0
SI: Nacional,Sí,50.0,82.74521609790698,5,1.0,0.0,0.0,1,94.85714286,95.88888889,95.1875,1,0,1,1,0,1,0
Local,No,31.0,82.74521609790698,6,1.0,0.0,0.0,1,89.8,93.6,91.83333333,0,1,1,1,0,1,0
Local,No,46.0,82.74521609790698,6,1.0,0.45,0.25,1,95.22222222,91.44444444,93.47222222,0,1,1,1,0,1,0
SI: Nacional,No,46.0,82.74521609790698,6,1.0,0.0,0.0,1,80.85714286,85.66666667,83.63636364,1,0,1,1,0,1,0
Local,No,29.0,82.74521609790698,4,0.666666667,0.0,0.0,1,88.4,93.875,91.17241379,1,0,1,1,0,1,0
Local,No,27.0,82.74521609790698,6,1.0,0.0,0.0,1,90.85714286,92.0,91.875,1,0,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,89.2,88.2,87.88888889,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.4,0.0,1,88.55555556,91.125,90.22222222,0,1,1,1,0,1,0
SI: Extranjero,No,46.0,82.74521609790698,6,1.0,0.0,0.0,1,93.0,94.0,92.97222222,1,0,1,1,0,1,0
SI: Nacional,No,31.0,82.74521609790698,5,0.9375,0.0,0.0,1,94.5,96.2,96.25,0,1,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,91.75,95.5,94.77777778,1,0,1,1,0,1,0
SI: Nacional,Sí,40.0,82.74521609790698,4,1.0,0.0,0.0,1,97.33333333,97.33333333,97.33333333,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,6,1.0,0.4,0.0,1,85.625,94.25,91.64705882,1,0,1,1,0,1,0
Local,No,46.0,82.74521609790698,6,1.0,0.4,0.0,1,94.0,94.2,93.16666667,0,1,1,1,0,1,0
SI: Nacional,Sí,50.0,82.74521609790698,4,1.0,0.0,0.0,1,91.3,95.0,92.63888889,0,1,1,1,0,1,0
SI: Nacional,No,44.0,82.74521609790698,6,1.0,0.1,0.1,1,95.8,98.4,97.61111111,0,1,1,1,0,1,0
SI: Nacional,No,38.0,82.74521609790698,2,1.0,0.0,0.0,1,98.16666667,96.66666667,97.41666667,0,1,1,1,0,1,0
Local,No,46.0,82.74521609790698,6,1.0,0.2,0.2,1,91.0,94.625,93.20512821,1,0,1,1,0,1,0
SI: Nacional,No,36.0,82.74521609790698,6,1.0,0.0,0.0,1,92.75,94.25,93.88888889,1,0,1,1,0,1,0
SI: Extranjero,Sí,40.0,82.74521609790698,6,1.104166667,0.0,0.0,1,88.8,92.88888889,92.92105263,1,0,1,1,0,1,0
Local,No,48.0,82.74521609790698,6,0.833333333,0.0,0.24999996,1,85.8,87.625,88.56666667,0,1,1,1,0,1,0
SI: Nacional,No,42.0,82.74521609790698,6,1.0,0.7,0.0,1,93.5,96.33333333,94.69444444,1,0,1,1,0,1,0
SI: Nacional,No,44.0,82.74521609790698,6,1.0,0.5,0.25,1,95.83333333,98.0,97.69444444,1,0,1,1,0,1,0
SI: Nacional,Sí,30.0,82.74521609790698,6,1.0,0.0,0.0,1,92.14285714,93.0,93.33333333,1,0,1,1,0,1,0
SI: Nacional,Sí,50.0,82.74521609790698,1,1.0,0.0,0.0,1,80.0,67.625,74.66666667,0,1,1,1,0,1,0
SI: Nacional,Sí,36.0,82.74521609790698,5,1.041666667,0.0,0.0,1,81.875,89.625,88.81081081,1,0,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,1.0,0.3,0.0,1,89.0,88.22222222,88.97222222,0,1,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,84.3,91.11111111,88.25,0,1,1,1,0,1,0
SI: Nacional,No,29.0,82.74521609790698,6,1.104166667,0.349999994,0.25,1,68.3,75.4,78.2,0,1,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,6,1.041666667,0.0,0.0,1,91.3,91.55555556,92.2972973,0,1,1,1,0,1,0
SI: Nacional,No,44.0,82.74521609790698,6,1.0,0.0,0.0,1,82.0,90.75,88.22222222,1,0,1,1,0,1,0
SI: Nacional,No,42.0,82.74521609790698,6,1.0,0.0,0.0,0,84.5,83.66666667,85.05555556,0,1,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,1.0,0.2,0.0,1,88.375,94.2,92.3030303,0,1,1,1,0,1,0
SI: Extranjero,No,44.0,82.74521609790698,6,1.0,0.0,0.0,1,88.5,90.66666667,88.47222222,0,1,1,1,0,1,0
SI: Extranjero,Sí,25.0,82.74521609790698,6,1.0,0.0,0.0,0,91.9,0.0,90.61111111,0,1,1,1,0,1,0
Local,No,44.0,82.74521609790698,6,1.0,0.0,0.0,1,84.14285714,92.75,89.0,1,0,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,0.875,0.899999978,0.0,1,71.63636364,94.4,83.80645161,1,0,1,1,0,1,0
SI: Nacional,No,44.0,82.74521609790698,6,1.0,0.0,0.0,1,83.0,82.71428571,86.64705882,0,1,1,1,0,1,0
SI: Extranjero,No,33.0,82.74521609790698,6,1.0,0.0,0.0,1,85.16666667,91.16666667,88.33333333,0,1,1,1,0,1,0
Local,No,44.0,82.74521609790698,6,1.0,0.0,0.0,1,94.0,92.5,93.90909091,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,0.833333333,0.400000016,0.0,1,93.33333333,95.14285714,94.87878788,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.5,0.0,1,98.125,95.11111111,96.80555556,1,0,1,1,0,1,0
Local,No,40.0,82.74521609790698,5,1.0,0.0,0.0,1,86.3,92.33333333,88.80555556,0,1,1,1,0,1,0
SI: Extranjero,No,30.0,82.74521609790698,6,1.0,0.0,0.0,1,75.0,78.3,80.02777778,0,1,1,1,0,1,0
Local,No,30.0,82.74521609790698,6,1.0,0.0,0.0,1,89.11111111,93.22222222,92.47222222,0,1,1,1,0,1,0
Local,Sí,38.0,82.74521609790698,1,1.0,0.0,0.0,1,83.14285714,90.5,86.3125,1,0,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,6,1.0,0.35,0.25,1,85.85714286,85.77777778,86.13888889,1,0,1,1,0,1,0
SI: Nacional,No,34.0,82.74521609790698,4,1.0,0.0,0.0,1,92.625,89.77777778,92.61111111,1,0,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,2,1.0,0.0,0.0,1,91.4,96.0,93.61111111,0,1,1,1,0,1,0
Local,No,28.0,82.74521609790698,6,1.0,0.9,0.0,1,84.85714286,89.25,88.19444444,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.4,0.0,1,97.11111111,94.5,95.47222222,0,1,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,6,1.041666667,0.399999994,0.0,1,91.5,93.9,93.4516129,0,1,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,83.7,91.11111111,85.6969697,0,1,1,1,0,1,0
SI: Nacional,No,21.0,82.74521609790698,6,1.0,0.0,0.0,0,76.0,85.25,81.15384615,1,0,1,0,1,1,0
SI: Extranjero,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,86.625,87.55555556,88.5,1,0,1,1,0,1,0
Local,No,29.0,82.74521609790698,6,1.0,0.0,0.0,1,91.57142857,92.625,92.66666667,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,6,0.833333333,0.0,0.0,1,92.22222222,96.0,95.44444444,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,94.1,94.6,94.47222222,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,2,1.0,0.0,0.0,1,85.57142857,78.125,83.25,0,1,1,0,1,1,0
Local,Sí,31.0,82.74521609790698,6,1.0,0.0,0.0,1,94.83333333,96.5,95.66666667,0,1,1,1,0,1,0
SI: Nacional,No,46.0,82.74521609790698,6,1.0,0.4,0.2,1,89.375,87.66666667,90.91666667,1,0,1,1,0,1,0
SI: Nacional,No,21.0,82.74521609790698,6,1.0,0.25,0.25,1,92.57142857,94.11111111,94.0,1,0,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.6,0.2,1,93.14285714,93.22222222,93.02777778,1,0,1,1,0,1,0
SI: Extranjero,No,48.0,82.74521609790698,6,1.0,0.0,0.0,1,95.5,95.5,95.38888889,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.15,0.15,1,86.14285714,87.625,87.47222222,0,1,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,1.0,0.3,0.0,1,96.71428571,93.125,95.14285714,0,1,1,1,0,1,0
Local,Sí,44.0,82.74521609790698,6,1.0,0.55,0.25,1,94.75,97.5,96.80555556,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,5,1.0,0.25,0.25,1,86.7,95.0,92.02777778,0,1,1,1,0,1,0
SI: Nacional,No,24.0,82.74521609790698,4,1.0,0.0,0.0,1,90.14285714,94.25,92.47222222,0,1,1,1,0,1,0
SI: Nacional,No,29.0,82.74521609790698,6,0.833333333,0.0,0.0,1,83.4,91.16666667,87.63636364,0,1,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,6,1.0,0.35,0.25,1,93.0,96.5,93.86111111,0,1,1,1,0,1,0
Local,Sí,44.0,82.74521609790698,6,1.0,0.2,0.0,1,97.125,99.375,98.05555556,1,0,1,1,0,0,1
SI: Nacional,No,50.0,82.74521609790698,6,1.0,0.55,0.25,1,95.625,96.77777778,96.5,1,0,1,1,0,1,0
SI: Nacional,No,48.0,82.74521609790698,6,1.166666667,0.399999988,0.250000029,1,93.5,90.25,93.48717949,0,1,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,6,1.0,0.0,0.0,0,92.8,0.0,92.77777778,0,1,1,0,1,1,0
Local,No,50.0,82.74521609790698,6,1.104166667,0.400000018,0.0,1,87.6,93.77777778,92.57894737,1,0,1,1,0,1,0
SI: Nacional,Sí,38.0,82.74521609790698,6,1.0,0.5,0.0,1,95.42857143,93.625,94.30555556,1,0,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,0.833333333,0.25,0.25,1,97.8,98.0,97.9,0,1,1,1,0,1,0
SI: Nacional,No,34.0,82.74521609790698,6,1.0,0.0,0.0,1,88.16666667,94.14285714,91.40540541,0,1,1,1,0,1,0
SI: Nacional,Sí,30.0,82.74521609790698,1,1.0,0.0,0.0,1,90.14285714,94.125,91.43589744,1,0,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,1,1.0,0.9,0.0,1,45.8,84.66666667,73.23333333,0,1,1,1,0,1,0
Local,No,29.0,82.74521609790698,6,1.0,0.55,0.25,1,91.8,96.11111111,94.36111111,0,1,1,1,0,1,0
Local,No,35.0,82.74521609790698,6,1.0,0.2,0.2,1,91.1,91.4,91.91666667,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,83.125,84.375,86.08333333,1,0,1,1,0,1,0
SI: Nacional,No,35.0,82.74521609790698,6,1.0,0.0,0.0,1,79.2,93.66666667,88.1025641,0,1,1,1,0,1,0
SI: Extranjero,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,96.7,93.375,95.33333333,0,1,1,1,0,1,0
SI: Nacional,No,36.0,82.74521609790698,4,1.0,0.0,0.0,1,86.875,94.33333333,92.16666667,1,0,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,5,1.0,0.0,0.0,1,89.9,92.1,91.88888889,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.1,0.1,1,92.77777778,95.0,94.30555556,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.2,0.0,1,96.0,93.33333333,95.13888889,1,0,1,1,0,0,1
Local,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,89.0,94.5,91.91666667,1,0,1,1,0,1,0
SI: Nacional,No,38.0,82.74521609790698,2,0.833333333,1.0,0.0,1,80.33333333,90.75,85.51515152,1,0,1,1,0,1,0
SI: Nacional,No,17.0,82.74521609790698,5,0.5,0.0,0.0,1,84.0,56.0,71.29411765,1,0,1,1,0,1,0
Local,No,25.0,82.74521609790698,6,1.0,0.0,0.0,1,83.55555556,90.8,88.66666667,0,1,1,1,0,1,0
Local,No,28.0,82.74521609790698,6,1.0,0.0,0.0,1,86.375,93.66666667,89.72222222,1,0,1,1,0,1,0
Local,No,31.0,82.74521609790698,6,1.0,0.35,0.25,1,87.9,95.6,91.52777778,0,1,1,1,0,1,0
Local,No,35.0,82.74521609790698,6,1.0,0.0,0.0,1,88.44444444,93.2,91.55555556,0,1,1,1,0,1,0
SI: Nacional,No,27.0,82.74521609790698,6,1.0,0.25,0.25,1,91.5,89.0,90.25,0,1,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,84.2,86.22222222,86.12121212,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,7,1.0,0.0,0.0,1,84.0,0.0,84.21428571,0,1,1,1,0,1,0
Local,Sin información,40.0,82.74521609790698,5,1.104166667,0.25,0.25,1,79.77777778,90.1,87.48484848,1,0,1,1,0,1,0
SI: Extranjero,No,46.0,82.74521609790698,6,1.0,0.5,0.0,1,89.9,97.1,93.27777778,0,1,1,1,0,1,0
Local,No,26.0,82.74521609790698,6,1.0,0.0,0.0,1,90.0,88.83333333,89.41666667,0,1,1,1,0,1,0
SI: Extranjero,No,30.0,82.74521609790698,6,0.666666667,0.0,0.0,1,88.0,87.0,87.4,0,1,1,1,0,1,0
SI: Nacional,No,46.0,82.74521609790698,5,1.0,0.35,0.25,1,94.125,93.55555556,94.02777778,1,0,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,1.0,0.4,0.0,1,91.44444444,94.55555556,93.58333333,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.4,0.25,1,91.83333333,93.5,92.66666667,0,1,1,1,0,1,0
Local,No,34.0,82.74521609790698,4,1.0,0.0,0.0,1,86.85714286,88.0,88.63636364,0,1,1,1,0,1,0
Local,No,31.0,82.74521609790698,6,1.041666667,0.249999953,0.249999953,1,87.375,93.75,91.08333333,1,0,1,1,0,1,0
Local,No,35.0,82.74521609790698,6,1.0,0.35,0.25,1,89.0,94.16666667,91.58333333,0,1,1,1,0,1,0
Local,Sí,46.0,82.74521609790698,6,1.0,0.45,0.25,1,90.25,96.25,93.74358974,1,0,1,1,0,1,0
Local,No,36.0,82.74521609790698,6,1.0,0.55,0.25,1,95.57142857,93.0,95.19444444,1,0,1,1,0,1,0
Local,No,44.0,82.74521609790698,6,1.0,0.0,0.0,0,91.88888889,96.3,95.09090909,0,1,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,93.33333333,91.7,94.36111111,0,1,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,6,1.0,0.4,0.0,1,91.6,94.0,92.88888889,0,1,1,1,0,1,0
SI: Nacional,No,48.0,82.74521609790698,6,1.0,0.0,0.0,1,95.4,95.0,94.77777778,0,1,1,1,0,1,0
SI: Extranjero,No,34.0,82.74521609790698,6,1.0,0.0,0.0,0,54.0,3.0,28.80555556,1,0,1,1,0,1,0
SI: Nacional,Sí,44.0,82.74521609790698,2,1.104166667,0.0,0.0,1,72.88888889,91.75,84.56756757,1,0,1,1,0,1,0
SI: Nacional,No,38.0,82.74521609790698,6,0.666666667,0.0,0.0,0,85.8,0.0,86.75,1,0,1,1,0,1,0
SI: Nacional,No,30.0,82.74521609790698,6,1.041666667,0.20000002,0.20000002,1,94.4,92.3,94.59459459,0,1,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,6,0.833333333,0.150000026,0.150000026,1,90.16666667,85.25,88.60714286,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.4,0.0,1,96.4,98.1,97.91666667,0,1,1,1,0,1,0
Local,No,31.0,82.74521609790698,6,1.0,0.0,0.0,1,89.88888889,88.1,90.66666667,0,1,1,1,0,1,0
Local,Sin información,46.0,82.74521609790698,6,1.0,0.0,0.0,1,69.25,83.11111111,75.51282051,1,0,1,1,0,1,0
SI: Extranjero,No,34.0,82.74521609790698,6,1.104166667,0.0,0.0,1,95.8,90.0,93.22857143,0,1,1,1,0,1,0
SI: Extranjero,Sí,47.0,82.74521609790698,6,0.833333333,0.0,0.0,0,58.55555556,54.0,61.32432432,0,1,1,1,0,1,0
Local,Sí,31.0,82.74521609790698,6,1.0,0.0,0.0,1,72.5,80.875,74.84375,1,0,1,1,0,1,0
SI: Nacional,No,36.0,82.74521609790698,6,1.0,0.0,0.0,1,94.5,94.8,95.0,0,1,1,1,0,1,0
SI: Nacional,No,35.0,82.74521609790698,3,1.0,0.0,0.0,1,87.0,92.83333333,89.91666667,0,1,1,1,0,1,0
SI: Nacional,No,35.0,82.74521609790698,4,1.166666667,0.0,0.0,1,63.33333333,95.5,82.53846154,0,1,1,1,0,1,0
SI: Nacional,No,25.0,82.74521609790698,6,1.0,0.0,0.0,1,88.11111111,89.77777778,88.91666667,0,1,1,1,0,1,0
SI: Nacional,No,34.0,82.74521609790698,5,1.0,0.0,0.0,1,93.0,95.4,94.11111111,0,1,1,1,0,1,0
Local,No,34.0,82.74521609790698,6,1.0,0.0,0.0,1,77.33333333,86.22222222,84.05882353,0,1,1,1,0,1,0
Local,No,38.0,82.74521609790698,4,1.0,0.25,0.25,1,85.625,88.85714286,88.82352941,1,0,1,1,0,1,0
SI: Nacional,No,31.0,82.74521609790698,4,1.0,0.0,0.0,1,97.0,96.0,97.41666667,0,1,1,1,0,1,0
SI: Nacional,No,22.0,82.74521609790698,6,1.0,0.0,0.0,1,94.3,91.7,93.83333333,0,1,1,1,0,1,0
Local,Sí,13.0,82.74521609790698,6,1.0,0.0,0.0,1,94.375,94.0,94.38888889,1,0,1,1,0,1,0
Local,No,41.0,82.74521609790698,4,0.708333333,0.150000014,0.150000014,1,90.0,95.71428571,93.30769231,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,81.125,89.33333333,86.16666667,1,0,1,1,0,1,0
Local,No,46.0,82.74521609790698,6,1.0,0.2,0.25,1,95.5,95.16666667,95.33333333,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,5,1.0,0.0,0.2,1,93.2,96.1,95.47222222,0,1,1,1,0,1,0
SI: Nacional,No,36.0,82.74521609790698,3,1.0,0.55,0.25,1,94.66666667,95.66666667,95.16666667,0,1,1,1,0,1,0
Local,No,46.0,82.74521609790698,6,1.0,0.0,0.0,1,95.66666667,95.5,95.58333333,0,1,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,6,1.104166667,0.0,0.0,1,79.8,91.5,88.51282051,1,0,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,3,1.0,0.0,0.0,1,87.0,92.28571429,90.55555556,0,1,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,91.33333333,92.33333333,91.83333333,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.3,0.0,1,85.25,89.375,88.05555556,1,0,1,1,0,1,0
Local,Sí,34.0,82.74521609790698,2,1.0,0.5,0.0,1,87.5,92.375,91.27777778,1,0,1,1,0,1,0
SI: Nacional,No,48.0,82.74521609790698,6,0.875,0.0,0.0,1,88.57142857,85.25,88.61111111,1,0,1,1,0,1,0
Local,No,21.0,82.74521609790698,6,1.0,0.0,0.0,1,87.3,88.1,87.83333333,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,6,1.0,0.0,0.0,1,89.66666667,94.0,91.63636364,0,1,1,1,0,1,0
SI: Nacional,No,38.0,82.74521609790698,2,1.0,0.45,0.25,1,90.42857143,87.875,89.97222222,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.2,0.2,1,85.0,85.75,86.3125,1,0,1,1,0,1,0
SI: Nacional,No,30.0,82.74521609790698,6,1.0,0.35,0.25,1,90.14285714,87.75,90.63888889,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,4,1.104166667,0.900000018,0.0,1,78.25,85.57142857,87.4,0,1,1,1,0,1,0
SI: Nacional,No,38.0,82.74521609790698,6,1.0,0.0,0.0,1,82.5,90.66666667,88.34482759,0,1,1,1,0,1,0
SI: Nacional,No,30.0,82.74521609790698,6,1.0,0.0,0.0,1,87.0,87.77777778,88.6875,1,0,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,6,0.833333333,0.0,0.0,1,84.22222222,69.9,77.78787879,0,1,1,1,0,1,0
SI: Nacional,No,36.0,82.74521609790698,5,1.0,0.0,0.0,1,85.9,86.7,85.88888889,0,1,1,1,0,1,0
SI: Extranjero,Sí,48.0,82.74521609790698,6,1.0,0.0,0.0,1,89.7,0.0,88.5,0,1,1,1,0,1,0
SI: Nacional,No,30.0,82.74521609790698,6,1.0,0.0,0.0,1,85.5,87.125,86.96969697,1,0,1,1,0,1,0
