Folio,Periodo,Genero,Region,Campus,Escuela,Programa_Ini,PrepaTEC,PAA,PNA,Edad,P_Beca,P_Prestamo,Life,PI,Experiencia,TOEFL,Promedio_Gr,Sueldo_Nominal,Sueldo_Real,,
CDJ05IMT2151,AD20,Masculino,DR,CDJ,EIC,IMT,NO,1545,91,23,0.20,0.00,Si,NO,Sí,550,92333,30500,30500,,
HER05LMC5032,AD20,Femenino,RO,HER,EN,LMC,SI,,82,25,0.00,0.00,No,NO,Sí,550,85573,0,0,,
GDA05LAF4613,AD20,Femenino,RO,GDL,EN,LAF,SI,1398,91,24,0.00,0.00,No,SI,No,577,89,23500,23500,,
HER05IIS5036,AD20,Femenino,RO,HER,EIC,IIS,SI,1393,91,23,0.20,0.20,Si,NO,Sí,600,91666,23000,23000,,
HER05IMT5031,AD20,Masculino,RO,HER,EIC,IMT,SI,,86,23,0.40,0.00,Si,NO,Sí,583,90557,17041,17041,,
HER05LIN5039,AD20,Masculino,RO,HER,EN,LIN,SI,,84,25,0.15,0.15,Si,NO,Sí,607,90714,0,0,,
MTY05IQA1610,AD20,Femenino,RM,MTY,EIC,IQA,SI,1465,91,24,0.00,0.00,No,SI,Sí,600,89196,16000,16000,,
MTY05CPF1588,AD20,Femenino,RM,MTY,EN,LCPF,SI,1421,92,24,0.00,0.00,No,SI,Sí,600,95107,24500,24500,,
HER05LAE5056,AD20,Femenino,RO,HER,EN,LAE,SI,1382,91,24,0.10,0.00,No,SI,Sí,590,95428,15000,15000,,
HER05LAE5057,AD20,Masculino,RO,HER,EN,LAE,SI,,85,23,0.00,0.00,No,NO,No,590,90589,12000,12000,,
HER05IIS5058,AD20,Femenino,RO,HER,EIC,IIS,SI,1312,92,23,0.15,0.15,Si,SI,No,550,92.9,14600,14600,,
CCM05CPF3696,AD20,Femenino,RCM,CCM,EN,LCPF,SI,,85,23,0.00,0.00,Si,NO,No,550,90672,0,0,,
HER05LIN5063,AD20,Masculino,RO,HER,EN,LIN,NO,1180,81,25,0.00,0.00,Si,NO,Sí,550,78,50400,50400,,
GDA05LAF4792,AD20,Femenino,RO,GDL,EN,LAF,NO,1291,80,25,0.00,0.00,No,SI,No,550,83828,15500,15500,,
MTY05IIS1860,AD20,Masculino,RM,MTY,EIC,IIS,NO,1333,90,24,0.00,0.00,Si,SI,No,600,76635,30000,30000,,
MTY05IIS1917,AD20,Femenino,RM,MTY,EIC,IIS,NO,1402,95,25,0.25,0.25,Si,NO,Sí,550,90396,0,0,,
HER05ARQ5070,AD20,Femenino,RO,HER,EAAD,ARQ,NO,1429,92,25,0.30,0.00,Si,SI,Sí,550,87424,8000,8000,,
QRO05LAF2787,AD20,Masculino,RCS,QRO,EN,LAF,NO,1445,73,26,0.00,0.00,No,NO,No,550,81761,13000,13000,,
HER05ARQ5068,AD20,Masculino,RO,HER,EAAD,ARQ,NO,1305,99,24,0.50,0.30,No,SI,Sí,550,90587,10000,10000,,
HER05IMT5073,AD20,Masculino,RO,HER,EIC,IMT,NO,1415,91,25,0.15,0.15,Si,SI,Sí,587,86421,8000,8000,,
HER05LAE5074,AD20,Masculino,RO,HER,EN,LAE,NO,1337,75,25,0.00,0.00,No,NO,Sí,577,81343,15000,15000,,
HER05LDI5075,AD20,Femenino,RO,HER,EAAD,LDI,NO,1564,100,23,0.00,0.00,Si,NO,Sí,647,97928,4000,4000,,
HER05IIS5077,AD20,Femenino,RO,HER,EIC,IIS,NO,1552,100,24,0.60,0.00,Si,SI,Sí,607,98583,12000,12000,,
MTY05IDS2029,AD20,Femenino,RM,MTY,EIC,IDS,NO,1448,99,24,0.00,0.00,No,NO,Sí,550,92083,12000,12000,,
HER05IMT5080,AD20,Masculino,RO,HER,EIC,IMT,NO,,,24,0.60,0.00,No,NO,No,550,91596,19000,19000,,
HER05IMT5085,AD20,Masculino,RO,HER,EIC,IMT,NO,1370,93,23,0.40,0.40,Si,NO,Sí,550,87765,9300,9300,,
MTY05IC2082,AD20,Masculino,RM,MTY,EIC,IC,NO,1458,94,24,0.00,0.00,No,SI,Sí,550,89761,20000,20000,,
HER05LAE5086,AD20,Femenino,RO,HER,EN,LAE,NO,1361,97,24,0.30,0.30,Si,SI,Sí,580,95192,16000,16000,,
HER05IIS5093,AD20,Femenino,RO,HER,EIC,IIS,NO,1310,93,23,0.40,0.40,Si,SI,Sí,550,92.58,38900,38900,,
HER05IIS5092,AD20,Femenino,RO,HER,EIC,IIS,NO,,,24,0.30,0.30,Si,SI,Sí,560,89.46,25000,25000,,
HER05LAE5095,AD20,Femenino,RO,HER,EN,LAE,NO,1422,82,24,0.20,0.00,Si,SI,Sí,587,92051,12000,12000,,
AGS1IIS108,AD20,Masculino,RO,AGS,EIC,IIS,SI,,77,26,0.00,0.00,No,SI,Sí,550,78333,14000,14000,,
AGS05IMT278,AD20,Masculino,RO,AGS,EIC,IMT,NO,1301,94,27,0.25,0.25,No,NO,Sí,570,85803,16000,16000,,
AGS05IIS299,AD20,Femenino,RO,AGS,EIC,IIS,NO,1422,97,24,0.35,0.35,Si,SI,Sí,550,94.19,0,0,,
AGS05LIN301,AD20,Femenino,RO,AGS,EN,LIN,NO,1479,96,24,0.20,0.20,Si,SI,Sí,600,94785,15460,15460,,
CCM05LAD3372,AD20,Femenino,RCM,CCM,EAAD,LAD,SI,,81,25,0.00,0.00,Si,NO,Sí,543,83507,8000,8000,,
GDA05LCD4501,AD20,Masculino,RO,GDL,EHE,LCMD,SI,1114,76,25,0.00,0.25,Si,SI,No,550,82314,10000,10000,,
QRO05ARQ2640,AD20,Masculino,RCS,QRO,EAAD,ARQ,SI,,89,24,0.00,0.00,No,SI,Sí,550,91689,10000,10000,,
QRO05LAF2613,AD20,Masculino,RCS,QRO,EN,LAF,SI,,91,25,0.35,0.35,No,SI,Sí,580,94.41,0,0,,
CSF05LAF380,AD20,Masculino,RCM,CSF,EN,LAF,SI,,93,24,0.35,0.35,No,NO,Sí,557,92339,25000,25000,,
HGO05ITI2413,AD20,Masculino,RCS,HGO,EIC,ITI,SI,,82,24,0.00,0.00,No,NO,Sí,550,77941,23664,23664,,
PUEPUEARQ114,AD20,Masculino,RCS,PUE,EAAD,ARQ,NO,,75,27,0.00,0.00,No,SI,No,550,82281,10800,10800,,
CCM05IMD3364,AD20,Masculino,RCM,CCM,EIC,IMD,SI,1504,94,23,0.70,0.00,Si,SI,Sí,630,87847,18098,18098,,
HGO05CPF2417,AD20,Femenino,RCS,HGO,EN,LCPF,SI,,,23,0.80,0.00,Si,SI,No,670,96875,18000,18000,,
PUE05IIS3191,AD20,Masculino,RCS,PUE,EIC,IIS,SI,,96,23,0.00,0.00,No,NO,Sí,550,95627,28000,28000,,
MTY05LED1649,AD20,Femenino,RM,MTY,ECSG,LED,SI,,92,23,0.90,0.00,No,NO,Sí,610,94.41,16000,16000,,
HGO05IIS2423,AD20,Femenino,RCS,HGO,EIC,IIS,NO,1336,96,23,0.15,0.15,Si,SI,No,557,95819,27000,27000,,
CSF05LAE469,AD20,Masculino,RCM,CSF,EN,LAE,SI,,80,24,0.00,0.00,Si,SI,No,550,81928,10000,10000,,
HGO05ITI2425,AD20,Masculino,RCS,HGO,EIC,ITI,SI,,87,23,0.00,0.20,No,NO,Sí,550,86051,20050,20050,,
CSF05LAE441,AD20,Femenino,RCM,CSF,EN,LAE,SI,1371,92,23,0.15,0.15,Si,SI,Sí,573,90446,15000,15000,,
HGO05CPF2422,AD20,Masculino,RCS,HGO,EN,LCPF,SI,,90,23,0.15,0.15,No,NO,Sí,550,93909,15650,15650,,
HGO05ITI2421,AD20,Masculino,RCS,HGO,EIC,ITI,SI,,88,23,0.20,0.20,Si,NO,No,550,91189,21000,21000,,
GDA05IIS4713,AD20,Masculino,RO,GDL,EIC,IIS,SI,,90,23,0.20,0.20,Si,NO,Sí,573,88.95,22738,22738,,
HGO05ITI2418,AD20,Femenino,RCS,HGO,EIC,ITI,SI,1513,97,23,0.70,0.10,Si,NO,Sí,643,96333,32000,32000,,
HGO05ITI2420,AD20,Masculino,RCS,HGO,EIC,ITI,SI,1433,92,23,0.25,0.25,Si,NO,Sí,553,95157,35000,35000,,
HGO05CPF2426,AD20,Femenino,RCS,HGO,EN,LCPF,SI,,88,23,0.10,0.20,Si,SI,No,570,87.14,12300,12300,,
QRO05LAE2761,AD20,Femenino,RCS,QRO,EN,LAE,SI,,90,23,0.00,0.00,Si,NO,Sí,560,94636,22500,22500,,
HGO05CPF2427,AD20,Masculino,RCS,HGO,EN,LCPF,SI,1450,96,23,0.50,0.00,Si,NO,Sí,550,95875,20000,20000,,
GDA05LED4722,AD20,Femenino,RO,GDL,ECSG,LED,SI,,87,23,0.00,0.00,Si,SI,Sí,550,91607,15000,15000,,
HGO05IIS2428,AD20,Femenino,RCS,HGO,EIC,IIS,NO,1359,85,27,0.10,25890.00,Si,SI,Sí,557,81.56,10000,10000,,
HGO05ITI2429,AD20,Masculino,RCS,HGO,EIC,ITI,SI,,87,24,0.20,0.20,No,NO,Sí,617,86894,23000,23000,,
MTY05IIS1849,AD20,Femenino,RM,MTY,EIC,IIS,NO,1311,99,24,0.00,0.20,Si,SI,No,550,91426,21000,21000,,
PUE05ISD3318,AD20,Masculino,RCS,PUE,EIC,ISD,NO,1458,90,24,0.20,0.00,No,NO,No,550,93461,14000,14000,,
HGO05CPF2432,AD20,Femenino,RCS,HGO,EN,LCPF,NO,1242,97,24,0.90,0.00,Si,NO,Sí,550,84705,10000,10000,,
HGO05CPF2434,AD20,Masculino,RCS,HGO,EN,LCPF,NO,1322,85,23,0.25,0.25,Si,NO,No,550,90678,12000,12000,,
HGO05ITI2438,AD20,Femenino,RCS,HGO,EIC,ITI,NO,1535,86,23,0.25,0.25,Si,SI,No,610,95327,40000,40000,,
HGO05IIS2436,AD20,Femenino,RCS,HGO,EIC,IIS,NO,1362,88,23,0.15,0.15,No,NO,Sí,550,95047,25500,25500,,
HGO05IIS2435,AD20,Femenino,RCS,HGO,EIC,IIS,NO,1545,93,23,0.80,0.00,Si,SI,No,550,94233,20000,20000,,
HGO05IIS2437,AD20,Masculino,RCS,HGO,EIC,IIS,NO,1359,87,23,0.25,0.25,No,SI,Sí,643,95098,19000,19000,,
MTY05ARQ818,AD20,Masculino,RM,MTY,EAAD,ARQ,SI,,,26,0.90,0.00,Si,SI,Sí,623,90137,16000,16000,,
MTY05LDI829,AD20,Femenino,RM,MTY,EAAD,LDI,SI,,88,25,0.90,0.00,Si,SI,Sí,600,92089,7000,7000,,
MTY05BIE817,AD20,Femenino,RM,MTY,EIC,IIS,SI,,87,25,0.90,0.00,No,SI,Sí,610,92582,71070,71070,,
MTY05CPF1003,AD20,Masculino,RM,MTY,EN,LCPF,SI,,,26,0.00,0.00,No,NO,Sí,607,77.03,12000,12000,,
MTY05ITC836,AD20,Masculino,RM,MTY,EIC,ITC,NO,1433,88,24,0.40,0.40,Si,NO,Sí,550,84203,26000,26000,,
MTY05IMA1054,AD20,Masculino,RM,MTY,EIC,IMA,SI,1420,93,24,0.15,0.15,Si,SI,Sí,603,90508,30000,30000,,
MTY05ARQ1205,AD20,Masculino,RM,MTY,EAAD,ARQ,SI,,84,25,0.00,0.00,Si,SI,Sí,570,84524,18000,18000,,
MTY05LRI1110,AD20,Femenino,RM,MTY,ECSG,LRI,SI,,90,24,0.00,0.00,No,SI,No,677,88339,23400,23400,,
MTY05BCT1126,AD20,Masculino,RM,MTY,EIC,ITC,SI,1447,99,24,0.90,0.00,No,SI,Sí,637,99719,184000,184000,,
MTY05IC1249,AD20,Femenino,RM,MTY,EIC,IC,SI,,,24,0.00,,Si,NO,No,550,80228,12300,12300,,
MTY05CPF1170,AD20,Masculino,RM,MTY,EN,LCPF,SI,,78,25,0.00,0.00,Si,SI,Sí,550,81453,16500,16500,,
MTY05LAF838,AD20,Masculino,RM,MTY,EN,LAF,SI,,93,24,0.90,0.00,Si,SI,Sí,630,94509,72000,72000,,
MTY05ARQ1231,AD20,Femenino,RM,MTY,EAAD,ARQ,SI,,84,25,0.00,0.00,No,SI,Sí,570,87844,17000,17000,,
MTY05BME1226,AD20,Masculino,RM,MTY,EIC,IMT,SI,1470,93,25,0.25,0.25,No,SI,Sí,647,94955,21000,21000,,
MTY05IQA1239,AD20,Femenino,RM,MTY,EIC,IQA,SI,1328,82,24,0.00,0.00,No,NO,Sí,593,86079,19000,19000,,
MTY05BFA830,AD20,Femenino,RM,MTY,EN,LCPF,SI,1567,92,25,0.90,0.00,Si,SI,Sí,640,94322,23900,23900,,
MTY05BML1206,AD20,Masculino,RM,MTY,EIC,IME,SI,,94,25,0.00,0.00,No,SI,Sí,663,95523,160000,160000,,
MTY05ITC1219,AD20,Masculino,RM,MTY,EIC,ITC,SI,,89,24,0.00,0.00,No,SI,Sí,590,91.66,29823,29823,,
MTY05IQA1263,AD20,Femenino,RM,MTY,EIC,IQA,SI,1323,92,24,0.40,0.40,No,NO,Sí,550,90.6,0,0,,
MTY05IMA1168,AD20,Femenino,RM,MTY,EIC,IMA,SI,1383,86,24,0.00,0.00,Si,SI,Sí,617,88.05,31000,31000,,
MTY05ITC1284,AD20,Masculino,RM,MTY,EIC,ITC,SI,,78,24,0.00,0.20,Si,NO,Sí,557,86344,36000,36000,,
MTY05IMT1310,AD20,Masculino,RM,MTY,EIC,IMT,SI,,86,24,0.00,0.00,No,SI,Sí,550,85276,22000,22000,,
MTY05IQA872,AD20,Masculino,RM,MTY,EIC,IQA,SI,1262,93,24,0.00,0.00,No,SI,Sí,603,94016,20000,20000,,
MTY05ITC1333,AD20,Masculino,RM,MTY,EIC,ITC,SI,1448,96,24,0.90,0.00,No,SI,Sí,670,96596,2600000,2600000,,
MTY05IIS1342,AD20,Masculino,RM,MTY,EIC,IIS,SI,,86,24,0.00,0.00,No,SI,Sí,560,88483,21000,21000,,
MTY05LAE1399,AD20,Femenino,RM,MTY,EN,LAE,SI,,86,24,0.00,0.00,Si,SI,Sí,560,93163,17000,17000,,
MTY05CPF1568,AD20,Masculino,RM,MTY,EN,LCPF,SI,,84,23,0.00,0.00,Si,SI,Sí,613,85767,14500,14500,,
MTY05INT1537,AD20,Femenino,RM,MTY,EIC,INT,SI,1317,88,24,0.40,0.40,No,SI,Sí,603,89,23875,23875,,
MTY05IDA1601,AD20,Masculino,RM,MTY,EIC,IDA,SI,,84,24,0.40,0.00,Si,SI,Sí,627,89016,20000,20000,,
MTY05ITC1435,AD20,Femenino,RM,MTY,EIC,ITC,SI,1485,98,24,0.50,0.30,Si,NO,Sí,673,97543,25000,25000,,
MTY05LED1469,AD20,Femenino,RM,MTY,ECSG,LED,SI,,82,24,0.00,0.00,No,SI,Sí,550,85285,0,0,,
MTY05IMT1451,AD20,Masculino,RM,MTY,EIC,IMT,NO,1406,86,23,0.20,0.30,Si,NO,Sí,600,86375,25000,25000,,
MTY05IMD1404,AD20,Femenino,RM,MTY,EIC,IMD,SI,1263,95,23,0.40,0.40,No,NO,Sí,613,89155,13824,13824,,
MTY05LIN1449,AD20,Femenino,RM,MTY,EN,LIN,SI,1421,91,24,0.40,0.40,Si,SI,Sí,637,90905,24000,24000,,
MTY05IDS1382,AD20,Femenino,RM,MTY,EIC,IDS,SI,,88,23,0.25,0.25,Si,SI,No,553,91983,12000,12000,,
MTY05INT1377,AD20,Femenino,RM,MTY,EIC,INT,SI,1504,91,23,0.50,0.00,Si,NO,Sí,653,94929,6000,6000,,
MTY05LEM1569,AD20,Femenino,RM,MTY,EN,LEM,SI,1361,89,23,0.00,0.00,Si,SI,Sí,583,95071,17000,17000,,
MTY05LEC1473,AD20,Masculino,RM,MTY,ECSG,LEC,SI,,88,24,0.00,0.00,No,SI,Sí,633,90.91,18000,18000,,
MTY05CPF1455,AD20,Femenino,RM,MTY,EN,LCPF,SI,1359,90,23,0.60,0.00,Si,NO,Sí,603,94767,10000,10000,,
MTY05LIN1564,AD20,Masculino,RM,MTY,EN,LIN,SI,,86,23,0.00,0.00,Si,SI,Sí,583,87.35,17900,17900,,
MTY05IC1595,AD20,Masculino,RM,MTY,EIC,IC,SI,1288,93,24,0.80,0.00,No,SI,Sí,593,84606,24000,24000,,
MTY05LIN1580,AD20,Masculino,RM,MTY,EN,LIN,SI,,81,23,0.00,0.00,No,SI,Sí,580,84.1,30000,30000,,
MTY05LAE1450,AD20,Femenino,RM,MTY,EN,LAE,SI,,83,24,0.00,0.00,Si,SI,Sí,597,89807,15000,15000,,
MTY05ISD1707,AD20,Masculino,RM,MTY,EIC,ISD,SI,,87,23,0.00,0.00,No,NO,Sí,560,89688,0,0,,
MTY05LED1582,AD20,Femenino,RM,MTY,ECSG,LED,SI,,87,24,0.00,0.00,No,NO,Sí,593,86534,6000,6000,,
MTY05LPM1700,AD20,Masculino,RM,MTY,EN,LPM,SI,,85,23,0.00,0.00,Si,SI,Sí,567,89517,10000,10000,,
MTY05LED1574,AD20,Femenino,RM,MTY,ECSG,LED,SI,,83,23,0.00,0.00,Si,SI,Sí,573,86631,12500,12500,,
MTY05LDI1692,AD20,Femenino,RM,MTY,EAAD,LDI,SI,1080,80,23,0.90,0.00,No,SI,No,550,91.31,10000,10000,,
PUE05IDA3121,AD20,Masculino,RCS,PUE,EIC,IDA,NO,,,29,0.00,,Si,NO,Sí,550,71166,6000,6000,,
MTY05IQP1293,AD20,Femenino,RM,MTY,EIC,IQP,SI,,,24,0.25,0.25,No,NO,Sí,550,84733,16000,16000,,
PUE05LAD3173,AD20,Masculino,RCS,PUE,EAAD,LAD,SI,,83,25,0.00,0.00,Si,SI,No,620,85017,8000,8000,,
GDA05LAF4592,AD20,Masculino,RO,GDL,EN,LAF,NO,,,25,0.00,,Si,SI,Sí,600,88084,16000,16000,,
PUE05LAF3195,AD20,Masculino,RCS,PUE,EN,LAF,SI,,82,23,0.20,0.00,Si,SI,Sí,550,88732,7000,7000,,
PUE05LAF3199,AD20,Masculino,RCS,PUE,EN,LAF,NO,1440,92,23,0.50,0.00,Si,NO,No,550,95571,17000,17000,,
PUE05LRI3190,AD20,Masculino,RCS,PUE,ECSG,LRI,SI,,89,24,0.30,0.30,No,SI,Sí,550,92509,22200,22200,,
PUE05LAF3206,AD20,Femenino,RCS,PUE,EN,LAF,SI,1509,95,24,0.60,0.00,Si,SI,Sí,567,97607,30000,30000,,
PUE05LAF3215,AD20,Femenino,RCS,PUE,EN,LAF,SI,,83,24,0.00,0.00,Si,NO,Sí,550,86644,0,0,,
PUE05IMA3224,AD20,Masculino,RCS,PUE,EIC,IMA,NO,1441,92,23,0.00,0.00,Si,SI,Sí,550,91338,18700,18700,,
MTY05IMD892,AD20,Femenino,RM,MTY,EIC,IMD,NO,,,23,0.90,0.00,No,SI,Sí,567,89846,14400,14400,,
PUE05IIS3223,AD20,Femenino,RCS,PUE,EIC,IIS,SI,,88,23,0.10,0.00,Si,NO,Sí,550,90.15,18000,18000,,
PUE05LEF3226,AD20,Femenino,RCS,PUE,ECSG,LEF,SI,1456,95,24,0.20,0.00,Si,SI,Sí,590,97089,26437,26437,,
PUE05LIN3222,AD20,Masculino,RCS,PUE,EN,LIN,SI,,81,24,0.00,0.00,No,SI,No,550,88607,24000,24000,,
PUE05IIS3232,AD20,Femenino,RCS,PUE,EIC,IIS,SI,1487,92,23,0.60,0.00,Si,SI,Sí,550,94833,0,0,,
PUE05LDI3234,AD20,Femenino,RCS,PUE,EAAD,LDI,NO,,92,28,0.30,0.30,Si,NO,Sí,577,93.69,12000,12000,,
PUE05IIS3233,AD20,Femenino,RCS,PUE,EIC,IIS,SI,1501,93,23,0.60,0.10,Si,NO,Sí,550,92.3,15000,15000,,
PUE05IMT3236,AD20,Femenino,RCS,PUE,EIC,IMT,SI,,86,24,0.50,0.00,Si,NO,No,550,88131,12000,12000,,
PUE05LDP3235,AD20,Masculino,RCS,PUE,ECSG,LDP,SI,,82,23,0.75,0.00,No,NO,Sí,550,86421,15000,15000,,
PUE05LAE3164,AD20,Masculino,RCS,PUE,EN,LAE,SI,,,24,0.00,0.00,No,SI,Sí,550,84294,16000,16000,,
PUE05LAF3241,AD20,Femenino,RCS,PUE,EN,LAF,SI,,86,23,0.15,0.00,No,SI,Sí,590,95607,18000,18000,,
PUE05LAF3242,AD20,Femenino,RCS,PUE,EN,LAF,NO,1480,95,24,0.70,0.00,Si,SI,Sí,600,92875,77605,77605,,
QROMLAF127,AD20,Masculino,RCS,QRO,EN,LAF,NO,1289,77,28,0.00,,No,NO,No,550,73.82,20000,20000,,
PUE05LAD3251,AD20,Masculino,RCS,PUE,EAAD,LAD,NO,,87,25,0.00,0.00,Si,SI,No,573,87847,10000,10000,,
MTY05IMT1777,AD20,Masculino,RM,MTY,EIC,IMT,NO,1445,89,25,0.30,0.40,Si,SI,Sí,550,91312,6300,6300,,
CEM05IQA4225,AD20,Masculino,RCM,CEM,EIC,IQA,NO,1349,77,26,0.00,0.00,No,NO,Sí,537,81014,28400,28400,,
PUE05IIS3277,AD20,Femenino,RCS,PUE,EIC,IIS,NO,1203,84,27,0.15,0.15,Si,NO,Sí,550,82455,10000,10000,,
PUE05IIS3276,AD20,Masculino,RCS,PUE,EIC,IIS,SI,,87,24,0.00,0.00,Si,NO,No,550,87.59,8600,8600,,
PUEPUELCMD130,AD20,Femenino,RCS,PUE,EHE,LCMD,NO,1423,100,24,0.30,0.00,No,SI,Sí,550,98152,15000,15000,,
PUE05LDI3288,AD20,Masculino,RCS,PUE,EAAD,LDI,NO,1406,88,25,0.10,0.20,No,NO,Sí,550,89266,12000,12000,,
PUE05IIS3294,AD20,Femenino,RCS,PUE,EIC,IIS,NO,1235,97,25,0.50,0.00,No,NO,Sí,550,92597,19000,19000,,
PUE05ISD3287,AD20,Masculino,RCS,PUE,EIC,ISD,NO,1420,95,24,0.10,0.40,Si,SI,Sí,550,84338,0,0,,
PUE05IDA3298,AD20,Masculino,RCS,PUE,EIC,IDA,NO,1409,86,25,0.60,0.00,No,SI,Sí,550,90.59,59225,59225,,
PUE05IMT3279,AD20,Masculino,RCS,PUE,EIC,IMT,NO,1511,97,24,0.60,0.00,Si,SI,Sí,600,89838,15000,15000,,
PUE05LCD3303,AD20,Masculino,RCS,PUE,EHE,LCMD,NO,1380,92,25,0.35,0.35,Si,SI,No,550,92603,12000,12000,,
PUE05ITC3320,AD20,Masculino,RCS,PUE,EIC,ITC,NO,,,24,0.20,0.20,Si,SI,Sí,550,91758,75763,75763,,
PUE05ITC3315,AD20,Masculino,RCS,PUE,EIC,ITC,NO,1393,86,24,0.10,0.00,No,SI,Sí,550,81897,8000,8000,,
CCM05LCD3389,AD20,Femenino,RCM,CCM,EHE,LCMD,NO,1394,83,25,0.00,0.40,Si,NO,Sí,557,86984,9000,9000,,
MTYAITC133,AD20,Femenino,RM,MTY,EIC,ITC,SI,,86,25,0.00,0.40,No,SI,No,610,82.05,23000,23000,,
CCM05LCD3385,AD20,Femenino,RCM,CCM,EHE,LCMD,SI,,79,25,0.00,0.00,No,SI,Sí,553,82806,10000,10000,,
CCM05IME3396,AD20,Femenino,RCM,CCM,EIC,IME,NO,,,28,0.00,0.00,Si,NO,Sí,550,77554,30000,30000,,
CCM05LMC3400,AD20,Femenino,RCM,CCM,EN,LMC,SI,,,27,0.00,,No,NO,Sí,547,89116,12000,12000,,
CCM05LDI3408,AD20,Femenino,RCM,CCM,EAAD,LDI,SI,,81,25,0.00,0.00,No,NO,Sí,570,89589,40000,40000,,
PUE05IDA3146,AD20,Masculino,RCS,PUE,EIC,IDA,SI,,88,25,0.00,0.00,Si,NO,Sí,597,78791,24500,24500,,
CCM05ARQ3412,AD20,Femenino,RCM,CCM,EAAD,ARQ,SI,1486,95,25,0.20,0.00,Si,NO,Sí,613,91586,16000,16000,,
CCM05LAE3410,AD20,Femenino,RCM,CCM,EN,LAE,SI,1455,91,24,0.00,0.00,Si,NO,Sí,600,93436,25500,25500,,
CCM05LAD3415,AD20,Femenino,RCM,CCM,EAAD,LAD,SI,,83,24,0.00,0.00,Si,NO,No,547,87789,8000,8000,,
TOL05IMA2990,AD20,Masculino,RCS,TOL,EIC,IMA,SI,,86,25,0.90,0.00,No,SI,Sí,590,84819,0,0,,
CCM05LMC3421,AD20,Femenino,RCM,CCM,EN,LMC,SI,,81,25,0.00,0.00,No,NO,No,550,88606,23000,23000,,
CSF05LED352,AD20,Femenino,RCM,CSF,ECSG,LED,SI,,,25,0.00,0.00,No,SI,No,550,90206,11000,11000,,
CCM05ITS3425,AD20,Masculino,RCM,CCM,EIC,ITS,SI,,,24,0.60,0.00,Si,NO,Sí,573,81.91,21000,21000,,
CCM05LRI3424,AD20,Masculino,RCM,CCM,ECSG,LRI,SI,1420,86,24,0.00,0.10,Si,SI,Sí,567,83.44,25000,25000,,
CCM05LRI3431,AD20,Femenino,RCM,CCM,ECSG,LRI,SI,,83,24,0.00,0.00,Si,SI,Sí,617,93017,11600,11600,,
CCM05ARQ3449,AD20,Femenino,RCM,CCM,EAAD,ARQ,SI,,81,24,0.00,0.00,No,NO,Sí,553,87406,12000,12000,,
CCM05IIS3440,AD20,Masculino,RCM,CCM,EIC,IIS,SI,,85,24,0.20,0.20,Si,SI,Sí,633,91396,24000,24000,,
CCM05IBT3448,AD20,Femenino,RCM,CCM,EIC,IBT,SI,,,24,0.25,0.25,Si,NO,No,550,88393,16000,16000,,
CCM05LCD3444,AD20,Femenino,RCM,CCM,EHE,LCMD,SI,,88,24,0.00,0.00,Si,SI,Sí,610,93275,18000,18000,,
CCM05LAF3452,AD20,Masculino,RCM,CCM,EN,LAF,SI,,82,24,0.00,0.00,Si,SI,Sí,587,85122,20000,20000,,
CCM05IBT3455,AD20,Femenino,RCM,CCM,EIC,IBT,NO,1433,89,24,0.00,0.00,Si,SI,No,550,89661,18098,18098,,
CCM05LEF3462,AD20,Masculino,RCM,CCM,ECSG,LEF,SI,,78,25,0.00,0.00,Si,SI,Sí,563,91142,15000,15000,,
CCM05ARQ3439,AD20,Masculino,RCM,CCM,EAAD,ARQ,SI,,88,24,0.10,0.20,No,SI,Sí,620,86524,17500,17500,,
CCM05ITC3464,AD20,Masculino,RCM,CCM,EIC,ITC,SI,,88,24,0.20,0.35,Si,SI,Sí,590,92859,31000,31000,,
CCM05LP3465,AD20,Femenino,RCM,CCM,EMCS,LP,SI,,77,25,0.00,0.00,Si,SI,Sí,670,84333,19000,19000,,
CSF05LRI389,AD20,Femenino,RCM,CSF,ECSG,LRI,SI,1289,75,25,0.00,0.35,Si,NO,No,550,82209,8000,8000,,
CCM05LIN3475,AD20,Femenino,RCM,CCM,EN,LIN,SI,,79,24,0.00,0.00,Si,SI,Sí,557,85982,14531,14531,,
CCM05IIS3479,AD20,Masculino,RCM,CCM,EIC,IIS,SI,1481,94,23,0.60,0.10,Si,SI,Sí,630,95433,80000,80000,,
CCM05LMC3480,AD20,Masculino,RCM,CCM,EN,LMC,SI,,88,24,0.00,0.00,No,NO,Sí,600,93789,25000,25000,,
CCM05IBT3482,AD20,Femenino,RCM,CCM,EIC,IBT,SI,,86,24,0.20,0.20,Si,SI,Sí,567,86.65,21000,21000,,
MTY05BFE1361,AD20,Femenino,RM,MTY,EIC,IIA,SI,,90,23,0.00,0.00,No,SI,No,630,94328,24000,24000,,
CCM05ITC3507,AD20,Masculino,RCM,CCM,EIC,ITC,SI,,88,24,0.15,0.00,No,NO,No,573,90754,24000,24000,,
CCM05IIS3510,AD20,Femenino,RCM,CCM,EIC,IIS,SI,1378,96,24,0.10,0.00,Si,SI,Sí,633,94.65,28000,28000,,
CCM05LAF3496,AD20,Masculino,RCM,CCM,EN,LAF,SI,,88,24,0.15,0.15,Si,SI,Sí,620,91303,34500,34500,,
