Folio,Periodo,Nivel,PrepaTEC,Escuela,Genero,Edad,Foraneo,FGS,Rubrica_CyE,PromMate,Ingles,FTE,P_Beca,P_Prestamo,HijoMilitar,Prog_Lider,Retencion1erA,Prom1erSem,Prom2doSem,Prom1erA
BCCCFKBF,AD19,Profesional,SI,EIC,Masculino,17.73333333,Local,Sí,,89.5,7,1,0.25,0.25,NO,NO,1,87.625,87.33333333,86.41666667
BCCCFKBG,AD19,Profesional,SI,EHE-EAAD,Femenino,18.27222222,Local,No,,85,7,1,0.2,0.2,NO,NO,1,91,94.8,92.75
BCCCFKBH,AD19,Profesional,SI,EIC,Femenino,18.23055556,Local,No,,68.5,7,1,0.15,0.15,NO,NO,1,79.875,85.11111111,79.47368421
BCCCFKBI,AD19,Profesional,SI,EHE-EAAD,Masculino,18.78888889,Local,Sí,,78.5,7,1,0,0,NO,NO,1,71.16666667,77.6,74.25
BCCCFKBJ,AD19,Profesional,SI,EN,Femenino,18.45833333,Local,No,,77,7,1,0.35,0.25,NO,NO,1,93.44444444,94.1,93.66666667
BCCCFKBK,AD19,Profesional,NO,EIC,Masculino,17.76944444,Local,No,50,NA,5,1,0.2,0,NO,SI,1,93.25,97.1,95.78571429
BCCCFKCB,AD19,Profesional,SI,EIC,Masculino,18.81111111,Local,No,,76,7,1,0.05,0.05,NO,NO,1,75,83.33333333,77.57894737
BCCCFKDF,AD19,Profesional,SI,EN,Masculino,18.175,Local,No,,74,7,1,0,0,NO,NO,1,86.55555556,82.3,85.63888889
BCCCFKDG,AD19,Profesional,NO,EN,Femenino,18.29166667,SI: Nacional,No,40,NA,6,1,0.15,0.15,NO,NO,1,90.5,93.2,90.54285714
BCCCFKDH,AD19,Profesional,NO,EN,Femenino,18.48888889,Local,No,38,NA,2,1,0,0,NO,NO,1,81.2,92,86.88888889
BCCCFKDI,AD19,Profesional,NO,EIC,Femenino,17.78611111,Local,No,40,NA,3,1,0.45,0.25,NO,NO,1,85,89.77777778,86.33333333
BCCCFKDJ,AD19,Profesional,SI,EN,Femenino,17.825,Local,No,,64,4,1,0,0,NO,NO,1,83.7,92.7,88.33333333
BCCCFKEB,AD19,Profesional,SI,EN,Femenino,18.26666667,SI: Nacional,No,,78,7,1,0,0,NO,NO,1,83.77777778,83.44444444,85.36363636
BCCCFKEF,AD19,Profesional,SI,EHE-EAAD,Femenino,18.36944444,Local,No,,75.5,7,1,0.25,0.25,NO,NO,0,89.83333333,0,89.83333333
BCCCFKEI,AD19,Profesional,SI,EN,Masculino,17.95833333,SI: Nacional,No,,86.5,7,1,0.9,0,NO,NO,1,93.8,95.7,94.63888889
BCCCFKFB,AD19,Profesional,SI,EIC,Masculino,19.12222222,Local,No,,74.5,7,1,0,0,NO,NO,1,86.875,82.75,85.19444444
BCCCFKFC,AD19,Profesional,SI,EN,Femenino,17.80277778,Local,No,,80,7,1,0.2,0,NO,NO,1,93.44444444,94.8,93.75
BCCCFKFD,AD19,Profesional,SI,EN,Masculino,18.08888889,Local,No,,78.5,7,1,0,0,NO,NO,1,82.3,89.3,87.22222222
BCCCFKFE,AD19,Profesional,SI,EHE-EAAD,Femenino,17.75555556,Local,No,,73.5,7,1,0,0,NO,NO,1,85.33333333,89,87.41666667
BCCCFKFG,AD19,Profesional,SI,EN,Femenino,17.84722222,Local,No,,70.5,7,1,0,0,NO,NO,1,81.9,87.77777778,84.45454545
BCCCFKFH,AD19,Profesional,SI,EN,Femenino,18.25555556,Local,No,,93.5,7,1,0.25,0.25,NO,NO,1,91.3,93.6,92.86111111
BCCCFKFI,AD19,Profesional,SI,EIC,Femenino,18.65277778,Local,No,,94,7,1,0,0,NO,NO,1,89.25,89.11111111,89.02777778
BCCCFKGB,AD19,Profesional,SI,EHE-EAAD,Femenino,17.86944444,SI: Nacional,No,,78.5,7,1,0.15,0.15,NO,NO,1,96,92.83333333,94.41666667
BCCCFKGC,AD19,Profesional,SI,EN,Femenino,18.51111111,Local,No,,82,7,1,0,0,NO,NO,1,86,87.2,86.11111111
BCCCFKGD,AD19,Profesional,SI,ECSG,Masculino,18.63055556,SI: Nacional,No,,83,7,1,0.25,0.25,NO,NO,1,81.85714286,92.25,87.02777778
BCCCFKGF,AD19,Profesional,SI,EN,Femenino,18.55277778,Local,No,,68,7,1,0,0,NO,NO,1,82.5,86.3,85.05555556
BCCCFKGG,AD19,Profesional,SI,EN,Masculino,18.00555556,SI: Nacional,No,,78,7,1,0,0,NO,NO,1,90.88888889,85.8,87.08333333
BCCCFKGH,AD19,Profesional,SI,EN,Femenino,18.24166667,Local,No,,81.5,7,1,0.35,0.25,NO,NO,1,92.33333333,93.1,92.58333333
BCCCFKGK,AD19,Profesional,SI,EIC,Masculino,17.95,Local,No,,98,7,1,0.4,0,NO,NO,1,93.42857143,95.11111111,95.05128205
BCCCFKHB,AD19,Profesional,SI,EN,Femenino,18.38055556,Local,No,,81.5,7,1,0.35,0.25,NO,NO,1,92.55555556,92.6,92.86111111
BCCCFKHC,AD19,Profesional,SI,EIC,Masculino,18.30277778,SI: Nacional,No,,95,7,1,0.5,0,NO,NO,1,92.875,95.88888889,94.66666667
BCCCFKHD,AD19,Profesional,SI,EN,Masculino,18.91944444,Local,No,,96.5,7,1,0.6,0,NO,NO,1,95.9,96,95.97222222
BCCCFKHF,AD19,Profesional,SI,EIC,Femenino,18.70277778,Local,No,,75.5,5,1,0.1,0.1,NO,NO,1,90.8,96.83333333,94.06666667
BCCCFKHH,AD19,Profesional,SI,EN,Femenino,18.21111111,Local,No,,70,7,1,0.2,0.2,NO,NO,1,84.3,87.7,86.25
BCCCFKHI,AD19,Profesional,SI,EN,Femenino,18.61111111,Local,No,,78,7,1,0.25,0.25,NO,NO,1,91.9,95.4,94.86111111
BCCCFKIB,AD19,Profesional,SI,ECSG,Masculino,18.18055556,SI: Nacional,No,,89.5,7,1,0.25,0.25,NO,NO,1,93.5,96.25,94.94444444
BCCCFKIC,AD19,Profesional,SI,EHE-EAAD,Femenino,19.00277778,SI: Nacional,No,,87,7,1,0,0,NO,NO,1,92.16666667,92.83333333,92.5
BCCCFKID,AD19,Profesional,SI,EIC,Masculino,18.21666667,Local,No,,94,7,1,0.5,0,NO,NO,1,94.85714286,93.66666667,94.34285714
BCCCFKIE,AD19,Profesional,SI,EIC,Masculino,18.05,Local,No,,87.5,7,1,0.6,0,NO,NO,1,95.625,97.77777778,97.27027027
BCCCFKKJ,AD19,Profesional,SI,EIC,Masculino,18.56111111,Local,No,,95,7,1,0,0,SI,NO,1,96,96.88888889,96.61111111
BCCDEEJG,AD19,Profesional,SI,EN,Femenino,31.43333333,Local,No,,70,6,1,0,0,NO,NO,1,85,91.5,88.75
BCCDJFJB,AD19,Profesional,SI,EN,Masculino,25.03055556,Local,No,,67.5,4,1,0,0,NO,NO,1,66.44444444,78.2,80.77777778
BCCEIJDH,AD19,Profesional,NO,EIC,Femenino,20.88888889,Local,Sí,50,NA,6,0.541666667,0,0,NO,NO,0,83.4,0,86.2
BCCEJFJI,AD19,Profesional,SI,EHE-EAAD,Femenino,18.25,Local,No,,73,7,1,0.9,0,NO,NO,1,85.16666667,93.33333333,89.25
BCCEJHEJ,AD19,Profesional,SI,EIC,Femenino,18.80833333,Local,Sin información,,88,7,1,0.9,0,NO,NO,1,88.85714286,90.77777778,91.97435897
BCCEJIFB,AD19,Profesional,SI,EIC,Masculino,18.57222222,Local,Sí,,89,7,1,0,0,NO,NO,1,95.85714286,93.33333333,95.13888889
BCCEJIHG,AD19,Profesional,NO,EN,Femenino,18.50277778,Local,No,35,NA,2,1,0,0,NO,NO,1,85.4,91.66666667,88.5
BCCEJIKE,AD19,Profesional,SI,EIC,Masculino,19.35,Local,No,,72,7,1,0,0.25,NO,NO,1,75.28571429,88,81.77777778
BCCEKEII,AD19,Profesional,NO,EN,Masculino,18.23055556,Local,No,44,NA,6,1,0,0,NO,NO,1,89,85.3,88.16666667
BCCEKEJH,AD19,Profesional,SI,EIC,Femenino,18.06944444,Local,Sin información,,96.5,7,1,0.5,0,NO,NO,1,97.875,98,98.86111111
BCCEKFKE,AD19,Profesional,SI,EIC,Masculino,18.67777778,Local,Sin información,,73.5,7,1,0,0,NO,NO,1,83.33333333,79.125,80.48571429
BCCEKGBB,AD19,Profesional,NO,EIC,Masculino,18.07222222,Local,No,50,NA,6,1,0,0,NO,NO,1,91.125,94.11111111,93.58333333
BCCEKKDG,AD19,Profesional,SI,ECSG,Masculino,17.93611111,Local,No,,88.5,7,1,0.9,0,NO,NO,1,84,89.125,88.23076923
BCCEKKHJ,AD19,Profesional,SI,EN,Masculino,18.89444444,Local,Sin información,,89.5,7,1,0.9,0,NO,NO,1,96.2,98.4,97.27777778
BCCEKKJI,AD19,Profesional,SI,EHE-EAAD,Femenino,17.91944444,Local,No,,76.5,7,1,0.9,0,NO,NO,1,87,88.33333333,87.66666667
BCCGEKEG,AD19,Profesional,SI,EMCS,Femenino,22.59722222,SI: Nacional,No,46,82.5,6,1.104166667,0,0,NO,NO,1,94.83333333,90.8,93.5
BCCGFDHJ,AD19,Profesional,SI,EHE-EAAD,Masculino,21.75555556,Local,No,,64.5,6,1,0,0,NO,NO,0,60.2,0,66.83333333
BCCGFKIF,AD19,Profesional,SI,EN,Masculino,21.47222222,Local,No,,81,6,1,0,0,NO,NO,1,74.55555556,81.44444444,77.61111111
BCCIEEJC,AD19,Profesional,SI,EIC,Masculino,19.56111111,Local,No,,76,7,1,0.2,0.2,NO,NO,1,87.75,93.11111111,91.55555556
BCCIEFBB,AD19,Profesional,SI,EIC,Masculino,19.24166667,Local,No,,72.5,7,1,0.25,0.25,NO,NO,1,79.85714286,86.55555556,83.80555556
BCCIEFBC,AD19,Profesional,NO,EIC,Masculino,19.48888889,SI: Nacional,No,32,NA,4,0.666666667,0,0,NO,NO,0,75.33333333,34.33333333,52.36666667
BCCIEFFD,AD19,Profesional,NO,EN,Masculino,19.02777778,SI: Nacional,No,32,NA,7,1,0,0,NO,NO,1,90.66666667,93.5,92.05555556
BCCIEFGB,AD19,Profesional,SI,EN,Femenino,19.275,Local,No,,64.5,7,0.9375,0,0,NO,NO,1,85.2,88.88888889,87.02857143
BCCIEFJD,AD19,Profesional,SI,EHE-EAAD,Femenino,18.95277778,Local,No,,64,4,1,0,0.25,NO,NO,0,93,0,93
BCCIEGFF,AD19,Profesional,SI,EHE-EAAD,Femenino,19.18055556,Local,No,,59,7,1,0.4,0,NO,NO,0,94.5,94.2,94.36363636
BCCIEGHF,AD19,Profesional,SI,EIC,Femenino,19.30833333,Local,No,,80,7,1,0,0,NO,NO,0,74.125,0,72.77777778
BCCIEGJB,AD19,Profesional,NO,EN,Femenino,18.38611111,SI: Nacional,No,36,NA,5,1,0,0,NO,NO,1,88.2,95.1,92.47222222
BCCIEGJE,AD19,Profesional,SI,EHE-EAAD,Femenino,18.34444444,Local,No,,69.5,2,1,0,0,NO,NO,1,90,89.83333333,89.91666667
BCCIEGJG,AD19,Profesional,SI,EHE-EAAD,Femenino,18.21111111,SI: Nacional,No,,67.5,7,1,0,0,NO,NO,1,88,92,90.45454545
BCCIEGJH,AD19,Profesional,SI,EIC,Masculino,18.59166667,Local,No,,98.5,7,1,0.7,0,NO,NO,1,98.5,99.88888889,99.33333333
BCCIEGJK,AD19,Profesional,NO,EN,Masculino,18.16388889,SI: Nacional,No,46,NA,4,1,0,0,NO,NO,1,88.2,91.77777778,90.88888889
BCCIEGKD,AD19,Profesional,SI,EHE-EAAD,Femenino,18.58611111,Local,No,,95,7,1,0.4,0,NO,NO,1,94.16666667,95,94.58333333
BCCIEGKH,AD19,Profesional,SI,EIC,Masculino,18.39444444,SI: Nacional,No,,76.5,7,1,0.25,0.25,NO,NO,1,89,87.33333333,87.77777778
BCCIEGKI,AD19,Profesional,SI,EN,Femenino,18.28333333,SI: Nacional,No,,76,4,1,0,0,NO,NO,1,94.7,91.3,92.94444444
BCCIEGKK,AD19,Profesional,SI,EIC,Femenino,18.33055556,Local,No,,82.5,7,1,0.2,0.2,NO,NO,1,88,93.22222222,92
BCCIEHBC,AD19,Profesional,SI,EHE-EAAD,Femenino,18.54444444,Local,No,,79.5,7,1,0.35,0.25,NO,NO,1,91,94,91.5
BCCIEHBH,AD19,Profesional,SI,EIC,Masculino,18.66666667,SI: Nacional,No,,84.5,7,0.875,0.25,0.25,NO,NO,1,84.83333333,93.7,89.72222222
BCCIEHBJ,AD19,Profesional,SI,EN,Masculino,19.56944444,SI: Nacional,No,,90,7,1,0.15,0.15,NO,NO,1,98.2,98.9,98.41666667
BCCIEHCC,AD19,Profesional,SI,EMCS,Femenino,19.03333333,SI: Nacional,No,36,74,7,1.104166667,0,0,NO,NO,0,79.1,0,81.05263158
BCCIEHCD,AD19,Profesional,SI,EHE-EAAD,Masculino,18.05277778,Local,No,,89,7,1,0.2,0.2,NO,NO,1,90.33333333,91.16666667,90.75
BCCIEHCI,AD19,Profesional,SI,EN,Masculino,18.38611111,SI: Nacional,No,,75,7,1,0,0,NO,NO,1,81.6,79.4,81.32432432
BCCIEHCJ,AD19,Profesional,SI,EIC,Femenino,18.43611111,SI: Nacional,No,,80,7,1,0,0,NO,NO,1,92.75,97.22222222,95.11111111
BCCIEHDC,AD19,Profesional,SI,EMCS,Femenino,18.67222222,SI: Nacional,No,44,87,7,1.041666667,0.249999971,0.249999971,NO,NO,1,90.1,91.3,92.45945946
BCCIEHDD,AD19,Profesional,SI,EMCS,Femenino,18.28611111,SI: Nacional,No,46,85,6,1.041666667,0.299999994,0,NO,NO,1,87.77777778,95.3,92.97297297
BCCIEHDE,AD19,Profesional,SI,EHE-EAAD,Femenino,17.925,SI: Nacional,No,,88.5,7,1,0.5,0,NO,NO,1,93.8,97.4,95.41666667
BCCIEHDI,AD19,Profesional,SI,EN,Masculino,17.84166667,Local,No,,100,5,1,0.5,0,NO,NO,1,95.7,96.5,95.88888889
BCCIEHDJ,AD19,Profesional,SI,EN,Femenino,18.85,SI: Nacional,No,,70,7,1,0,0,NO,NO,1,90.2,92.3,90.72222222
BCCIEHFG,AD19,Profesional,SI,EHE-EAAD,Masculino,17.71944444,Local,No,,88,7,1,0.25,0.25,NO,NO,1,90.33333333,88.16666667,89.25
BCCIEHFH,AD19,Profesional,SI,EHE-EAAD,Masculino,18.47777778,Local,No,,68.5,4,1,0.2,0.2,NO,NO,1,95.83333333,96.66666667,96.25
BCCIEHFJ,AD19,Profesional,SI,EIC,Masculino,17.87777778,Local,No,,97,7,1,0.5,0,NO,NO,1,96.375,95.33333333,96.02777778
BCCIEHFK,AD19,Profesional,SI,EMCS,Femenino,18.21944444,SI: Nacional,No,50,84,7,1,0.15,0.15,NO,NO,1,84.3,87.8,87.47222222
BCCIEHGD,AD19,Profesional,SI,EMCS,Masculino,17.76944444,SI: Nacional,No,27,93,7,1.104166667,0,0,SI,NO,1,91.5,91.5,93
BCCIEHGK,AD19,Profesional,NO,EIC,Femenino,18.44444444,Local,No,29,NA,6,1,0.35,0.25,NO,NO,1,90.25,95.44444444,94.53846154
BCCIEHHE,AD19,Profesional,SI,EIC,Masculino,17.61388889,Local,No,,73,1,1,0,0,SI,NO,1,80.375,89.55555556,85.66666667
BCCIEHHF,AD19,Profesional,SI,EN,Femenino,17.65833333,Local,No,,78.5,3,1,0,0,SI,NO,1,93.2,95.2,94.44444444
BCCIEHHG,AD19,Profesional,SI,EMCS,Femenino,17.92777778,SI: Nacional,No,46,76.5,6,1.104166667,0,0,NO,NO,1,70.1,78.1,79.28947368
BCCIEHHH,AD19,Profesional,SI,EHE-EAAD,Femenino,18.1,SI: Nacional,No,26,71,4,1,0,0,SI,NO,1,92.16666667,94.83333333,93.5
BCCIEHHK,AD19,Profesional,SI,EN,Femenino,17.6,SI: Nacional,No,,69.5,3,1,0,0,SI,NO,1,88,90.9,90.59459459
BCCIEHIB,AD19,Profesional,SI,EIC,Femenino,18.03611111,Local,No,,70.5,2,1,0.25,0.25,NO,NO,0,83.25,90.44444444,87.58333333
BCCIEHIK,AD19,Profesional,SI,EN,Masculino,18.00277778,SI: Nacional,No,,74,1,1,0,0,NO,NO,1,87.3,89.8,87.30555556
BCCIEHJK,AD19,Profesional,SI,EIC,Masculino,18.13055556,SI: Nacional,No,,80,7,0.666666667,0,0,NO,NO,0,74.66666667,0,70.25
BCCIEHKI,AD19,Profesional,NO,EIC,Masculino,18.25833333,Local,No,33,NA,6,1,0.35,0.25,NO,NO,1,84.625,94.22222222,91.66666667
BCCIEHKJ,AD19,Profesional,SI,EIC,Masculino,17.975,SI: Nacional,No,,77,2,1,0,0,SI,NO,1,83.875,89.33333333,88.30555556
BCCIEIBC,AD19,Profesional,SI,EN,Masculino,18.43611111,Local,No,,68,4,1,0,0,NO,NO,1,87.8,92.7,90.36111111
BCCIEIBD,AD19,Profesional,SI,EN,Femenino,18.58611111,Local,No,,81,4,1,0,0,NO,NO,1,90.5,95.1,93.38888889
BCCIEIBG,AD19,Profesional,SI,EMCS,Masculino,18.09166667,SI: Nacional,No,40,77,7,1.104166667,0,0,NO,NO,1,81,78.1,82.39473684
BCCIEIBJ,AD19,Profesional,NO,EN,Masculino,17.81944444,SI: Nacional,No,36,NA,6,1,0,0,SI,NO,1,88.2,86.1,87.36111111
BCCIEICB,AD19,Profesional,SI,EN,Femenino,18.55277778,Local,Sin información,,74,7,1,0,0,SI,NO,1,91.9,94.8,93.97222222
BCCIEICJ,AD19,Profesional,SI,EHE-EAAD,Masculino,18.21388889,Local,No,,85.5,7,1,0.2,0.2,NO,NO,0,87,85.33333333,86.16666667
BCCIEIDC,AD19,Profesional,SI,EN,Masculino,18.40277778,Local,No,,67.5,4,1,0,0,NO,NO,1,78,90.7,85.36842105
BCCIEIDH,AD19,Profesional,SI,EIC,Masculino,18.65555556,SI: Nacional,No,,72,7,1,0,0,NO,NO,1,25.625,8.571428571,15.44444444
BCCIEIEK,AD19,Profesional,SI,EIC,Masculino,18.47777778,SI: Nacional,No,,77,7,1,0.1,0,NO,NO,1,90.25,89.44444444,89.72222222
BCCIEIFG,AD19,Profesional,SI,EHE-EAAD,Femenino,17.71666667,Local,No,,79.5,1,1,0.2,0.2,NO,NO,1,88.5,93.16666667,90.83333333
BCCIEIGC,AD19,Profesional,SI,EIC,Masculino,17.75277778,Local,No,25,85.5,7,1,0.2,0.2,NO,NO,1,92.125,91.77777778,93.05555556
BCCIEIGH,AD19,Profesional,SI,EHE-EAAD,Femenino,18.68333333,Local,No,,71.5,4,1,0.2,0.2,NO,NO,1,92.66666667,96.33333333,94.5
BCCIEIHC,AD19,Profesional,SI,EN,Femenino,18.44166667,Local,No,,77.5,4,1,0,0,NO,NO,1,87.9,94.1,92.11111111
BCCIEIHE,AD19,Profesional,SI,EHE-EAAD,Femenino,18.44722222,Local,Sí,,61.5,7,1,0,0,SI,NO,1,83.66666667,86.16666667,84.91666667
BCCIEIHI,AD19,Profesional,SI,EHE-EAAD,Femenino,18.5,Local,No,,74,5,1,0.25,0.25,NO,NO,1,92.66666667,90.5,91.58333333
BCCIEIHK,AD19,Profesional,SI,EN,Masculino,18.35555556,Local,No,,67,1,1,0,0,NO,NO,1,71.3,87.11111111,80.2972973
BCCIEIIC,AD19,Profesional,SI,EN,Masculino,18.50277778,SI: Nacional,No,,61,7,0.666666667,0,0,NO,NO,1,71.8,91,77.58823529
BCCIEIJB,AD19,Profesional,SI,EHE-EAAD,Femenino,17.84444444,Local,No,,70.5,7,1,0.25,0.25,NO,NO,0,100,0,100
BCCIEJCH,AD19,Profesional,SI,EAAD-EIC,Femenino,19.03055556,Local,No,,79,7,1,0,0,SI,NO,1,89.28571429,92.75,90.91666667
BCCIEJFK,AD19,Profesional,SI,EN,Masculino,19.13611111,Local,No,,71,7,1,0,0,NO,NO,1,90.5,91.5,90.88888889
BCCIEJKG,AD19,Profesional,SI,EHE-EAAD,Femenino,18.33611111,Local,No,,71.5,7,1,0.7,0,NO,NO,1,92.5,90.33333333,91.41666667
BCCIEJKK,AD19,Profesional,SI,EIC,Masculino,17.82777778,Local,No,,77,4,1,0.2,0.2,NO,NO,1,79.57142857,58.375,70.02941176
BCCIEKHC,AD19,Profesional,SI,EIC,Masculino,18.60833333,Local,Sí,,85.5,7,1,0.5,0,NO,NO,1,93.28571429,97,95.48571429
BCCIEKIG,AD19,Profesional,SI,EHE-EAAD,Masculino,17.80555556,Local,No,,64,7,1,0,0,NO,NO,1,87.33333333,77.16666667,82.25
BCCIEKKF,AD19,Profesional,SI,EN,Femenino,18.275,SI: Nacional,No,,88.5,7,0.833333333,0.5,0,NO,NO,1,90.88888889,95.22222222,94.19444444
BCCIFCKK,AD19,Profesional,NO,EN,Femenino,19.61944444,Local,No,33,NA,4,1,0.25,0.25,NO,NO,1,92.6,93.5,93.13888889
BCCIFEFK,AD19,Profesional,NO,EHE-EAAD,Masculino,18.13611111,Local,Sí,30,NA,6,1,0,0,NO,NO,1,90.5,89,89.75
BCCIFEGD,AD19,Profesional,NO,EIC,Masculino,18.31111111,Local,No,24,NA,6,1,0.2,0.2,NO,NO,1,90.375,92.88888889,92.61111111
BCCIFEHF,AD19,Profesional,NO,EIC,Masculino,18.99444444,Local,No,38,NA,4,1,0.35,0.25,NO,NO,1,89.25,94.66666667,93.33333333
BCCIFEJG,AD19,Profesional,NO,EIC,Masculino,18.29166667,Local,No,50,NA,6,1,0.2,0.2,NO,NO,1,89,94.22222222,91.97222222
BCCIFEKB,AD19,Profesional,NO,EN,Masculino,19.70555556,Local,No,40,NA,4,1,0,0,NO,NO,1,83.5,87.9,86.27777778
BCCIFFBD,AD19,Profesional,NO,EIC,Femenino,18.31111111,Local,No,38,NA,5,1,0.4,0,NO,NO,1,89.25,94.22222222,93.19444444
BCCIFFBK,AD19,Profesional,NO,EHE-EAAD,Femenino,18.31944444,Local,Sí,34,NA,1,1,0,0,NO,NO,0,84.16666667,62.75,75.6
BCCIFFEB,AD19,Profesional,NO,EHE-EAAD,Masculino,18.56388889,SI: Nacional,No,30,NA,6,1,0,0,NO,NO,1,93,88.66666667,90.83333333
BCCIFFGI,AD19,Profesional,NO,EHE-EAAD,Femenino,18.22777778,Local,No,46,NA,6,1,0,0,NO,NO,1,80.83333333,82.33333333,81.58333333
BCCIFFHB,AD19,Profesional,NO,EIC,Masculino,18.53888889,SI: Nacional,No,28,NA,6,1,0.55,0.25,NO,NO,1,82.42857143,91.55555556,90.25
BCCIFFHD,AD19,Profesional,NO,EIC,Masculino,18.21388889,Local,No,36,NA,1,1,0.35,0.25,NO,NO,1,90.25,97.44444444,95.44444444
BCCIFFID,AD19,Profesional,NO,EN,Masculino,18.26666667,Local,Sí,40,NA,1,1,0.2,0,NO,SI,1,96.4,95.5,96.19444444
BCCIFFIF,AD19,Profesional,NO,EHE-EAAD,Femenino,17.91388889,Local,No,35,NA,6,1,0,0,NO,NO,1,83.33333333,82.16666667,83.69230769
BCCIFFII,AD19,Profesional,NO,EIC,Masculino,18.23055556,SI: Nacional,Sí,21,NA,2,1,0,0,NO,NO,0,65,0,65.13333333
BCCIFFKC,AD19,Profesional,NO,EN,Femenino,19.63055556,Local,No,35,NA,1,1,0,0,SI,NO,1,82.3,87.1,85.5
BCCIFFKH,AD19,Profesional,NO,EHE-EAAD,Femenino,18.75555556,Local,Sí,25,NA,6,1,0,0,SI,NO,0,1,0,1
BCCIFGBB,AD19,Profesional,NO,EIC,Femenino,19.46944444,Local,No,29,NA,4,1,0,0,NO,NO,1,74,85.44444444,82.15
BCCIFGBC,AD19,Profesional,NO,EIC,Masculino,17.80555556,Local,No,40,NA,1,1,0,0,NO,NO,1,84.125,92.88888889,88.94871795
BCCIFGBD,AD19,Profesional,NO,EHE-EAAD,Femenino,27.70833333,SI: Extranjero,Sí,36,NA,6,1,0,0,NO,NO,0,90.66666667,0,90.66666667
BCCIFGCF,AD19,Profesional,NO,EHE-EAAD,Femenino,19.11388889,Local,No,31,NA,6,1,0,0,NO,NO,1,89.83333333,87,88.54545455
BCCIFGCG,AD19,Profesional,NO,EHE-EAAD,Femenino,20.20833333,Local,No,34,NA,6,1,0,0,NO,NO,1,89.33333333,84,86.90909091
BCCIGGDG,AD19,Profesional,SI,EIC,Masculino,26.125,Local,Sin información,,84,6,0.166666667,0,0,NO,NO,0,70,52,61
BCCIHJFH,AD19,Profesional,SI,EN,Masculino,21.32222222,Local,No,,82,6,1,0,0,NO,NO,1,81.7,82.7,81.33333333
BCCIHJJI,AD19,Profesional,SI,EHE-EAAD,Masculino,20.40277778,Local,No,,71,7,1,0,0,NO,NO,1,90.66666667,92.16666667,91.41666667
BCCIIBBC,AD19,Profesional,SI,EIC,Masculino,20.14166667,Local,No,,77.5,7,1,0,0,NO,NO,1,73.625,77.375,77.30769231
BCCIIBDK,AD19,Profesional,SI,EN,Femenino,20.175,SI: Nacional,Sí,,96.5,7,1,0.55,0.25,NO,NO,1,97.1,98.11111111,97.30555556
BCCIIBGJ,AD19,Profesional,SI,EIC,Masculino,19.82222222,Local,Sin información,,76,7,1,0,0,NO,NO,1,83.85714286,89,88.11111111
BCCIIBIC,AD19,Profesional,NO,ECSG,Femenino,19.66111111,Local,No,36,NA,6,1,0,0,NO,NO,1,85,82.75,84.33333333
BCCIIBJH,AD19,Profesional,SI,EHE-EAAD,Masculino,20.23055556,Local,No,,67,7,1,0,0,NO,NO,1,76.33333333,72.16666667,74.25
BCCIICBK,AD19,Profesional,SI,EN,Masculino,19.86111111,Local,Sin información,,69,7,1,0,0,NO,NO,1,70.8,77.625,73.03125
BCCIICCD,AD19,Profesional,SI,EIC,Masculino,19.41666667,Local,Sí,,73.5,7,1,0,0,NO,NO,1,69.85714286,36,46.67741935
BCCIICCH,AD19,Profesional,SI,EHE-EAAD,Femenino,19.81111111,Local,No,,80,7,1,0,0,NO,NO,1,90.33333333,95.16666667,92.75
BCCIICCI,AD19,Profesional,SI,EAAD-EIC,Femenino,18.96944444,Local,No,,74.5,7,1,0,0,NO,NO,1,92.57142857,89.16666667,90.63636364
BCCIICDD,AD19,Profesional,SI,EN,Masculino,20.37222222,Local,No,,77,7,1,0,0,NO,NO,1,79.55555556,84.1,80.33333333
BCCIICDG,AD19,Profesional,SI,EN,Femenino,20.08055556,Local,No,,78,7,1,0,0,NO,NO,1,93.4,94.8,93.94444444
BCCIICDH,AD19,Profesional,SI,EHE-EAAD,Femenino,19.46111111,Local,No,,67.5,7,1,0,0,NO,NO,1,89.33333333,93.33333333,91.33333333
BCCIICID,AD19,Profesional,SI,EN,Femenino,19.40555556,Local,No,,73,7,1,0,0,NO,NO,1,86.8,92.5,88.80555556
BCCIICIE,AD19,Profesional,SI,EIC,Masculino,19.03888889,Local,No,,85.5,7,1,0.15,0.15,NO,NO,1,84.125,89.44444444,88.19444444
BCCIICIG,AD19,Profesional,SI,EIC,Masculino,19.29444444,Local,No,,73.5,7,1,0,0,NO,NO,0,75,0,72.88888889
BCCIICIH,AD19,Profesional,SI,EN,Masculino,18.41111111,Local,No,,91.5,7,1,0,0,NO,NO,1,90.75,90.7,89.97222222
BCCIICII,AD19,Profesional,SI,EIC,Masculino,18.46388889,Local,No,,76.5,7,1,0.4,0,NO,NO,1,81.875,40.625,67.36842105
BCCIICIK,AD19,Profesional,SI,EIC,Femenino,18.78055556,Local,No,,84.5,7,1,0,0,NO,NO,1,85.71428571,90.66666667,90.88888889
BCCIICJB,AD19,Profesional,NO,EHE-EAAD,Masculino,19.275,Local,Sin información,36,NA,6,1,0,0,NO,NO,1,86.33333333,91,89
BCCIICJC,AD19,Profesional,SI,EIC,Masculino,19.17222222,Local,No,,56,7,1,0,0,NO,NO,0,82.5,89,83.48
